participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.attention_check,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.belief_bonus,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.name,session.config.development,session.config.participation_fee,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation,otfe.1.player.survey_one_time_policies,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
11,jtlhyw1i,65298aca34ac384b783169d4,0,29,29,otfe,Redirect,2025-02-10 14:52:13.011339,1,,,3.64,T1-T-Info,1739199135.2211673,1739201917.7114668,1,Chrome 132,passed,0,0,"{""correctAttempts"":6,""incorrectAttempts"":1}","{""correctAttempts"":14,""incorrectAttempts"":0}","{""correctAttempts"":11,""incorrectAttempts"":1}","{""correctAttempts"":12,""incorrectAttempts"":1}",1_2,25,45,38,45,35,20,30,0,I think this study worked great and was interesting. I had no technical issues either,10,10,10,10,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,11,,0.0,passed,25,45,38,30,35,45,20,2,2,2,3,3,5,1,,,2,2,1,2,2,4,4,I think this study worked great and was interesting. I had no technical issues either,10,10,10,10,1,1
12,7zu35ts5,66ab424884bb5aba0d3f5dde,0,29,29,otfe,Redirect,2025-02-10 14:52:20.027432,1,,,3.6,C-NoInfo,1739199176.0705638,1739202047.726209,1,Chrome 132,failed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":7,""incorrectAttempts"":4}","{""correctAttempts"":12,""incorrectAttempts"":0}","{""correctAttempts"":13,""incorrectAttempts"":2}",2_3,25,27,26,29,27,28,26,0,,10,10,7,9,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,12,,0.0,failed,25,27,26,26,27,29,28,2,2,2,2,3,2,3,,,4,2,3,3,4,4,4,,10,10,7,9,1,1
13,ylzz6bfr,5f1bf8c6fe7ca34249b7c334,0,29,29,otfe,Redirect,2025-02-10 14:54:33.906119,1,,,6.29,C-Info,1739199275.5612338,1739201809.4892623,1,Chrome 132,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":15,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":0}","{""correctAttempts"":18,""incorrectAttempts"":0}",3,23,25,25,24,24,25,25,1,,10,10,10,10,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,13,,0.0,passed,23,25,25,25,24,24,25,2,2,2,4,4,4,3,,,3,4,3,3,4,4,4,,10,10,10,10,1,1
14,evxzh23f,5ff082234cfb7df5d6371e99,0,29,29,otfe,Redirect,2025-02-10 14:55:25.674733,1,,,1.27,T1-P,1739199328.842731,1739201583.0979757,1,Chrome 132,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":16,""incorrectAttempts"":1}","{""correctAttempts"":0,""incorrectAttempts"":0}","{""correctAttempts"":1,""incorrectAttempts"":0}",1,25,25,50,26,24,30,50,0,,10,10,7,6,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,14,,0.0,passed,25,25,50,50,24,26,30,2,2,2,3,3,3,4,,,2,2,2,2,3,4,4,,10,10,7,6,1,1
15,c2bo9rma,5f85bcb11941de066ef7d941,0,29,29,otfe,Redirect,2025-02-10 14:57:36.501361,1,,,7.08,T1-T-NoInfo,1739199461.986939,1739202146.9069996,1,Chrome 125,failed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":18,""incorrectAttempts"":1}","{""correctAttempts"":19,""incorrectAttempts"":3}","{""correctAttempts"":23,""incorrectAttempts"":0}",1_2,25,25,25,25,25,25,25,1,I experienced a lot from the study.,10,10,10,10,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,15,,0.0,failed,25,25,25,25,25,25,25,2,2,2,4,4,4,2,,,4,2,1,2,2,3,4,I experienced a lot from the study.,10,10,10,10,1,1
16,la5iyl9b,657db19ca4e2e63c2eb7296f,0,29,29,otfe,Redirect,2025-02-10 14:59:12.895520,1,,,4.58,T2-T,1739199579.647952,1739202723.5519063,1,Chrome 132,passed,0,0,"{""correctAttempts"":12,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":0}","{""correctAttempts"":15,""incorrectAttempts"":1}","{""correctAttempts"":15,""incorrectAttempts"":0}",3,25,25,25,35,30,30,25,1,"Thank you, enjoy your day!",8,9,9,8,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,16,,0.0,passed,25,25,25,25,30,35,30,2,2,2,4,4,3,3,,,4,2,3,3,3,3,3,"Thank you, enjoy your day!",8,9,9,8,1,1
17,adhpnuji,6658e6846712e30718aaada6,0,29,29,otfe,Redirect,2025-02-10 15:03:16.830751,1,,,1.54,T1-T-Info,1739199872.118076,1739205286.3659582,1,Chrome 132,failed,1,0,"{""correctAttempts"":6,""incorrectAttempts"":5}","{""correctAttempts"":7,""incorrectAttempts"":0}","{""correctAttempts"":4,""incorrectAttempts"":1}","{""correctAttempts"":5,""incorrectAttempts"":1}",3,25,25,50,25,25,25,70,0,,10,10,10,7,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,17,,0.0,failed,25,25,50,70,25,25,25,2,2,2,4,4,4,2,,,4,2,3,2,3,2,3,,10,10,10,7,1,1
18,vvd8f6od,66940bfe12c91deb6ce3030e,0,29,29,otfe,Redirect,2025-02-10 15:03:34.910051,1,,,7.2,C-NoInfo,1739199827.0936875,1739202122.5065515,1,Edge 132,failed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":18,""incorrectAttempts"":1}","{""correctAttempts"":22,""incorrectAttempts"":0}","{""correctAttempts"":24,""incorrectAttempts"":0}",2_3,28,28,27,28,28,28,25,0,,10,10,10,9,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,18,,0.0,failed,28,28,27,25,28,28,28,2,2,2,4,4,3,3,,,2,3,2,2,3,3,3,,10,10,10,9,1,1
19,3g1mogkc,66546fbc8a2568aa277e84d0,0,29,29,otfe,Redirect,2025-02-10 15:08:17.201882,1,,,5.84,C-Info,1739200107.4091907,1739202600.3995087,1,Chrome 132,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":12,""incorrectAttempts"":0}","{""correctAttempts"":11,""incorrectAttempts"":3}","{""correctAttempts"":20,""incorrectAttempts"":2}",1_3,25,25,25,25,25,25,25,1,,10,10,8,9,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,19,,0.0,passed,25,25,25,25,25,25,25,2,2,2,3,3,2,4,,,3,1,2,2,2,3,3,,10,10,8,9,1,1
20,5eamj06v,6762f512bbd08dc5ac17bc9f,0,29,29,otfe,Redirect,2025-02-10 15:12:48.847416,1,,,1.73,T1-P,1739200375.2673745,1739202678.8797338,1,Edge 132,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":8,""incorrectAttempts"":0}","{""correctAttempts"":8,""incorrectAttempts"":0}","{""correctAttempts"":7,""incorrectAttempts"":0}",1_3,25,20,10,5,15,10,10,0,,10,10,10,10,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,20,,0.0,passed,25,20,10,10,15,5,10,2,2,2,2,4,3,3,,,3,2,3,3,3,4,4,,10,10,10,10,1,1
21,lbvkjnlx,59014a56baa70f0001ea4c3b,0,29,29,otfe,Redirect,2025-02-10 15:15:57.550109,1,,,1.09,T1-T-NoInfo,1739200565.3166356,1739204028.3655183,1,Chrome 132,failed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":2}","{""correctAttempts"":4,""incorrectAttempts"":0}","{""correctAttempts"":7,""incorrectAttempts"":0}","{""correctAttempts"":0,""incorrectAttempts"":0}",1_3,26,45,35,15,35,35,30,0,,10,10,10,10,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,21,,0.0,failed,26,45,35,30,35,15,35,2,2,2,4,3,2,4,,,2,2,2,2,2,3,3,,10,10,10,10,1,1
22,nbx4chbi,64013a8e233aaa42388c821f,0,29,29,otfe,Redirect,2025-02-10 15:18:10.859539,1,,,0.15,T2-T,1739200720.1262102,1739203492.437204,1,Chrome 133,failed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":2}","{""correctAttempts"":10,""incorrectAttempts"":3}","{""correctAttempts"":0,""incorrectAttempts"":0}","{""correctAttempts"":0,""incorrectAttempts"":0}",2,25,29,34,25,25,22,32,0,,10,10,10,10,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,22,,0.0,failed,25,29,34,32,25,25,22,2,2,2,3,2,4,4,,,2,4,1,2,2,3,4,,10,10,10,10,1,1
23,gubhyjhv,66b2c7262f4631f5eea8e729,0,29,29,otfe,Redirect,2025-02-10 15:19:32.235892,1,,,3.96,T1-T-Info,1739200815.3064864,1739204294.793733,1,Chrome 132,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":2}","{""correctAttempts"":11,""incorrectAttempts"":2}","{""correctAttempts"":9,""incorrectAttempts"":2}","{""correctAttempts"":10,""incorrectAttempts"":3}",3,25,25,25,25,25,25,25,1,I felt comfortable with the instructions. I was not confused. ,8,8,8,7,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,23,,0.0,passed,25,25,25,25,25,25,25,2,2,2,5,3,3,3,,,2,2,3,3,4,4,4,I felt comfortable with the instructions. I was not confused. ,8,8,8,7,1,1
24,7pawe1ih,546ec14dfdf99b2bc7ebd032,0,29,29,otfe,Redirect,2025-02-10 15:19:38.709142,1,,,2.46,C-NoInfo,1739201014.5495253,1739204274.583575,1,Chrome 133,failed,0,0,"{""correctAttempts"":7,""incorrectAttempts"":1}","{""correctAttempts"":6,""incorrectAttempts"":0}","{""correctAttempts"":7,""incorrectAttempts"":0}","{""correctAttempts"":0,""incorrectAttempts"":0}",1_2,25,25,25,25,25,25,25,1,,10,10,6,7,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,24,,0.0,failed,25,25,25,25,25,25,25,2,2,2,1,1,1,3,,,3,1,1,2,3,3,3,,10,10,6,7,1,1
25,cm0bk67s,63a18415816a2a0cbe438f1b,0,29,29,otfe,Redirect,2025-02-10 15:21:38.481710,1,,,6.63,C-Info,1739200911.022592,1739203670.7413893,1,Chrome 132,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":15,""incorrectAttempts"":1}","{""correctAttempts"":16,""incorrectAttempts"":2}","{""correctAttempts"":19,""incorrectAttempts"":1}",1_3,25,25,25,25,25,25,25,1,"I actually thought I would make more than I ended up making. I thought I would make more than what was said to be average, instead, I am relatively sure I earned less.",8,9,4,4,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,25,,0.0,passed,25,25,25,25,25,25,25,2,2,2,4,3,2,3,,,4,3,1,2,3,3,3,"I actually thought I would make more than I ended up making. I thought I would make more than what was said to be average, instead, I am relatively sure I earned less.",8,9,4,4,1,1
26,vdpialwz,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,26,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
27,kgl8laqn,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
28,qc1khelg,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,28,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
29,hujd0pi8,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,,0,0,,,,,3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,29,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
30,dbenoh0f,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,30,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
31,01st3ze2,,0,0,29,,,,0,,,0.0,C-Info,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,31,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
32,gvzdre8w,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,32,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
33,7xckeq01,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,33,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
34,trbmmxza,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,34,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
35,91orsyn7,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,35,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
36,md9j3h4l,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,36,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
37,3v3o3xcl,,0,0,29,,,,0,,,0.0,C-Info,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,37,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
38,psav6fj8,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,1,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,38,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
39,qhkwg4d6,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,39,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
40,1gh2rmtp,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,40,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
41,m10gfexa,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,41,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
42,9c13e42h,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
