participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.data_dummy,player.beliefs1,player.beliefs2,player.beliefs3,player.beliefs4,player.beliefs1_2,player.beliefs1_3,player.beliefs2_3,player.cq_1,player.cq_2,player.cq_3,player.survey_student_loans,player.survey_pandemic,player.survey_wealth_tax_savings,player.survey_wealth_tax_consumption,player.survey_wealth_tax_personal_savings,player.survey_wealth_tax_personal_consumption,player.survey_repatriation,player.survey_one_time_policies,player.survey_tax_rates_1,player.survey_tax_rates_2,player.survey_tax_rates_3,player.survey_tax_rates_4,player.survey_tax_rates_5,player.feedback,player.feedback_difficulty,player.feedback_understanding,player.feedback_satisfied,player.feedback_pay,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
5,n168navh,,0,0,29,,,,0,,,0.0,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
6,so6le8og,,0,0,29,,,,0,,,0.0,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
7,wdwlatmf,,0,0,29,,,,0,,,0.0,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
8,slw5f20l,,0,0,29,,,,0,,,0.0,8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
9,ougu8bwz,,0,0,29,,,,0,,,0.0,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
10,zfxqj0j5,,0,0,29,,,,0,,,0.0,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
11,ytpex8jg,,0,0,29,,,,0,,,0.0,11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
12,0juw2ji8,,0,0,29,,,,0,,,0.0,12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
13,cwzn3gsb,,0,0,29,,,,0,,,0.0,13,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
14,ofv9841e,,0,0,29,,,,0,,,0.0,14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
15,uqcpwr7m,,0,0,29,,,,0,,,0.0,15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
16,l2wcl6wy,,0,0,29,,,,0,,,0.0,16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
17,a87q8lbh,,0,0,29,,,,0,,,0.0,17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
18,bgnocuk0,,0,0,29,,,,0,,,0.0,18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
19,plwn5dzp,,0,0,29,,,,0,,,0.0,19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
20,03qw8el4,,0,0,29,,,,0,,,0.0,20,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
21,mq3q86g0,,0,0,29,,,,0,,,0.0,21,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
22,nicsesgp,,0,0,29,,,,0,,,0.0,22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
23,v1v4ktop,,0,0,29,,,,0,,,0.0,23,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
24,hdwi55bs,,0,0,29,,,,0,,,0.0,24,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
25,wfnmgvp9,,0,0,29,,,,0,,,0.0,25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
26,cfzh8wrs,,0,0,29,,,,0,,,0.0,26,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
27,i365zsom,,0,0,29,,,,0,,,0.0,27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
28,idpe65r7,,0,0,29,,,,0,,,0.0,28,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
29,wgiic38n,,0,0,29,,,,0,,,0.0,29,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
30,0rz01i3e,,0,0,29,,,,0,,,0.0,30,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
31,bn1qwejh,,0,0,29,,,,0,,,0.0,31,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
32,i4bufwcn,,0,0,29,,,,0,,,0.0,32,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
33,cgkeohwp,,0,0,29,,,,0,,,0.0,33,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
34,dfp7grtc,,0,0,29,,,,0,,,0.0,34,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
35,de6vw8br,,0,0,29,,,,0,,,0.0,35,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
36,4r6v4y35,,0,0,29,,,,0,,,0.0,36,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
37,vl9emv09,,0,0,29,,,,0,,,0.0,37,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
38,0w0bmmqp,,0,0,29,,,,0,,,0.0,38,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
39,d03hfleu,,0,0,29,,,,0,,,0.0,39,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
40,zpuu74f5,,0,0,29,,,,0,,,0.0,40,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
41,b0rrd3u9,,0,0,29,,,,0,,,0.0,41,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
42,sbrxiexj,,0,0,29,,,,0,,,0.0,42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
43,oltgvw2c,,0,0,29,,,,0,,,0.0,43,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
44,lq5xj8ar,,0,0,29,,,,0,,,0.0,44,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
45,rx7uxolx,,0,0,29,,,,0,,,0.0,45,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
46,4rvce183,,0,0,29,,,,0,,,0.0,46,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
47,v2cnb4ln,,0,0,29,,,,0,,,0.0,47,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
48,r10rulbr,,0,0,29,,,,0,,,0.0,48,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
49,ctduy7a9,,0,0,29,,,,0,,,0.0,49,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
50,gs8yxvw8,,0,0,29,,,,0,,,0.0,50,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
51,9yskk6iu,,0,0,29,,,,0,,,0.0,51,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
52,vrb43dhg,,0,0,29,,,,0,,,0.0,52,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
53,sfzh34oa,,0,0,29,,,,0,,,0.0,53,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
54,cgmxeadq,,0,0,29,,,,0,,,0.0,54,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
55,dhzp38f6,,0,0,29,,,,0,,,0.0,55,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
56,3pf4mtnh,,0,0,29,,,,0,,,0.0,56,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
57,rc01tbv0,,0,0,29,,,,0,,,0.0,57,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
58,yajbdvy7,,0,0,29,,,,0,,,0.0,58,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
59,d2sgxm0j,,0,0,29,,,,0,,,0.0,59,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
60,xih0cbqh,,0,0,29,,,,0,,,0.0,60,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
61,x2jt5pq2,,0,0,29,,,,0,,,0.0,61,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
62,n4bf4y9m,,0,0,29,,,,0,,,0.0,62,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
63,qlzgix0f,,0,0,29,,,,0,,,0.0,63,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
64,7nzkaa5h,,0,0,29,,,,0,,,0.0,64,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
65,6uljszvw,,0,0,29,,,,0,,,0.0,65,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
66,b9p42xh2,,0,0,29,,,,0,,,0.0,66,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
67,uyew83fe,,0,0,29,,,,0,,,0.0,67,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
68,ifpdsg6u,,0,0,29,,,,0,,,0.0,68,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
69,lc5cyji4,,0,0,29,,,,0,,,0.0,69,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
70,wtwltiep,,0,0,29,,,,0,,,0.0,70,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
71,wkn1qq5u,,0,0,29,,,,0,,,0.0,71,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
72,cepeiokr,,0,0,29,,,,0,,,0.0,72,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
73,lcfrhopn,,0,0,29,,,,0,,,0.0,73,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
74,ic1q3h8r,,0,0,29,,,,0,,,0.0,74,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
75,4r869l2t,,0,0,29,,,,0,,,0.0,75,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
76,1lnhu7nr,,0,0,29,,,,0,,,0.0,76,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
77,q8p2gmx9,,0,0,29,,,,0,,,0.0,77,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
78,y70r2ws3,,0,0,29,,,,0,,,0.0,78,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
79,hs6636tt,,0,0,29,,,,0,,,0.0,79,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
80,f74n28xw,,0,0,29,,,,0,,,0.0,80,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
81,44z5mx7b,,0,0,29,,,,0,,,0.0,81,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
82,w97uz4uu,,0,0,29,,,,0,,,0.0,82,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
83,y2ijk2fb,,0,0,29,,,,0,,,0.0,83,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
84,bj8xyzap,,0,0,29,,,,0,,,0.0,84,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
85,erh30elz,,0,0,29,,,,0,,,0.0,85,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
86,17vnj8xn,,0,0,29,,,,0,,,0.0,86,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
87,0un34bnb,,0,0,29,,,,0,,,0.0,87,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
88,4mbaz3w1,,0,0,29,,,,0,,,0.0,88,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
89,y33rduhy,,0,0,29,,,,0,,,0.0,89,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
90,tra32wl6,,0,0,29,,,,0,,,0.0,90,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
91,vij7yrsz,,0,0,29,,,,0,,,0.0,91,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
92,5qif26s0,,0,0,29,,,,0,,,0.0,92,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
93,cqclq55z,,0,0,29,,,,0,,,0.0,93,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
94,n8i7d7om,,0,0,29,,,,0,,,0.0,94,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
95,1mo9t9xi,,0,0,29,,,,0,,,0.0,95,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
96,tkfiwd9o,,0,0,29,,,,0,,,0.0,96,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
97,x6bomap7,,0,0,29,,,,0,,,0.0,97,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
98,xapa1rbh,,0,0,29,,,,0,,,0.0,98,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
99,37qbsksk,,0,0,29,,,,0,,,0.0,99,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
100,xq5slxv0,,0,0,29,,,,0,,,0.0,100,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,zdsr8yhe,,,,,0
