participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.attention_check,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.cq_3_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.belief_bonus,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.development,session.config.participation_fee,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans_with,otfe.1.player.survey_student_loans_without,otfe.1.player.survey_student_loans_with_likert,otfe.1.player.survey_student_loans_without_likert,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_savings_number,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.survey_tax_rates_1_prob,otfe.1.player.survey_tax_rates_2_prob,otfe.1.player.survey_tax_rates_3_prob,otfe.1.player.survey_tax_rates_4_prob,otfe.1.player.survey_tax_rates_5_prob,otfe.1.player.annual_income,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
11,sj60073c,612fa57ac45f393b3531fcfb,0,32,32,otfe,Redirect,2025-03-27 13:27:23.889142,1,,,4.53,T1-P,1743082061.3959584,1743085381.112694,1,Chrome 134,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":0}","{""correctAttempts"":16,""incorrectAttempts"":0}","{""correctAttempts"":17,""incorrectAttempts"":0}",3,26,50,50,30,20,50,50,1,The bonus structure was unclear.  Was I able to earn a bonus for predictions made before each work section or just the first predictions?,9,9,9,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,11,,0.0,passed,26,50,50,50,20,30,50,2,2,2,100,100,4,4,,4,6000,,,,3,1,1,2,4,4,100,90,75,80,100,4,The bonus structure was unclear.  Was I able to earn a bonus for predictions made before each work section or just the first predictions?,9,9,9,10,1,1
12,w8g78euv,65672f832e481d65554c0bbc,0,32,32,otfe,Redirect,2025-03-27 13:27:37.832576,1,,,5.72,C-Info,1743082067.0102825,1743084692.812714,1,Edge 134,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":13,""incorrectAttempts"":0}","{""correctAttempts"":15,""incorrectAttempts"":1}","{""correctAttempts"":14,""incorrectAttempts"":3}",1_2,30,15,25,15,25,25,25,1,study was fun,8,9,10,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,12,,0.0,passed,30,15,25,25,25,15,25,2,2,2,50,50,3,3,,1,300,,,,2,3,3,4,3,4,35,50,100,45,75,6,study was fun,8,9,10,10,1,1
13,6by47qpu,5d2e07cac3651500019f0b0e,0,32,32,otfe,Redirect,2025-03-27 13:30:21.495280,1,,,6.62,C-NoInfo,1743082224.6590579,1743084603.6111727,1,Chrome 134,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":11,""incorrectAttempts"":3}","{""correctAttempts"":17,""incorrectAttempts"":2}","{""correctAttempts"":22,""incorrectAttempts"":0}",1_3,20,25,25,27,25,27,25,1,,9,9,9,9,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,13,,0.0,passed,20,25,25,25,25,27,27,2,2,2,0,50,2,3,,4,500,,,,4,3,3,3,4,4,30,30,30,70,70,10,,9,9,9,9,1,1
14,nclok62m,63daca8ae542ff8f19d3099a,0,32,32,otfe,Redirect,2025-03-27 13:32:46.096525,1,,,0.88,T2-T,1743082379.3037796,1743086672.4229486,1,Edge 134,failed,0,0,0,"{""correctAttempts"":15,""incorrectAttempts"":12}","{""correctAttempts"":6,""incorrectAttempts"":3}","{""correctAttempts"":4,""incorrectAttempts"":0}","{""correctAttempts"":3,""incorrectAttempts"":0}",2_3,25,50,100,18,18,10,25,0,,10,10,9,9,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,14,,0.0,failed,25,50,100,25,18,18,10,2,2,2,10,25,2,2,,2,100,,,,3,2,2,2,2,2,10,10,10,10,10,6,,10,10,9,9,1,1
15,l7u372w8,6117efedb574017076d5b499,0,32,32,otfe,Redirect,2025-03-27 13:33:30.256065,1,,,4.94,T1-T-Info,1743082515.252766,1743085507.5582802,1,Chrome 125,failed,0,0,0,"{""correctAttempts"":8,""incorrectAttempts"":1}","{""correctAttempts"":9,""incorrectAttempts"":0}","{""correctAttempts"":11,""incorrectAttempts"":0}","{""correctAttempts"":18,""incorrectAttempts"":0}",1_2,25,25,25,25,25,25,25,1,No comments.,10,10,10,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,15,,0.0,failed,25,25,25,25,25,25,25,2,2,2,25,25,2,2,,2,500,,,,3,1,2,2,3,4,5,10,20,60,80,12,No comments.,10,10,10,10,1,1
16,4n861i3o,5e307edef5abed05e1736185,0,32,32,otfe,Redirect,2025-03-27 13:33:38.703391,1,,,1.3,T1-T-NoInfo,1743082420.7033494,1743084823.7321477,1,Chrome 134,failed,0,0,0,"{""correctAttempts"":7,""incorrectAttempts"":0}","{""correctAttempts"":4,""incorrectAttempts"":0}","{""correctAttempts"":0,""incorrectAttempts"":0}","{""correctAttempts"":0,""incorrectAttempts"":0}",3,25,25,25,25,25,25,25,1,,10,10,10,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,16,,0.0,failed,25,25,25,25,25,25,25,2,2,2,10,10,1,1,,3,,,,,3,3,3,3,3,3,20,20,20,30,30,3,,10,10,10,10,1,1
17,j0022yhg,63d2c192777fb7d26c001146,0,32,32,otfe,Redirect,2025-03-27 13:34:25.125561,1,,,4.2,T1-P,1743082490.3987336,1743088212.062125,1,Chrome 134,failed,0,1,2,"{""correctAttempts"":36,""incorrectAttempts"":6}","{""correctAttempts"":17,""incorrectAttempts"":0}","{""correctAttempts"":20,""incorrectAttempts"":1}","{""correctAttempts"":19,""incorrectAttempts"":2}",1,25,25,50,75,50,75,50,0,,10,10,10,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,17,,0.0,failed,25,25,50,50,50,75,75,2,2,2,50,75,3,4,,1,50,,,,5,3,3,3,1,1,20,50,75,0,0,2,,10,10,10,10,1,1
18,m7gwmsi5,66ba8c6a41737fcd4fc4ac9e,0,1,32,otfe,Welcome,2025-03-27 13:40:34.163627,1,,,0.0,C-Info,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
19,h1skrq8f,673726b38e7451a580f3c624,0,32,32,otfe,Redirect,2025-03-27 13:40:41.325655,1,,,6.29,C-NoInfo,1743083038.7794938,1743086187.5726955,1,Chrome 130,failed,0,0,0,"{""correctAttempts"":7,""incorrectAttempts"":3}","{""correctAttempts"":15,""incorrectAttempts"":1}","{""correctAttempts"":15,""incorrectAttempts"":2}","{""correctAttempts"":17,""incorrectAttempts"":1}",2_3,25,25,25,25,25,25,0,1,,10,10,10,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,19,,0.0,failed,25,25,25,0,25,25,25,2,2,2,0,0,1,1,,3,,,,,4,3,3,3,1,2,10,25,30,0,5,5,,10,10,10,10,1,1
20,x0uc9rl0,650b0eb2e8c0266da78521fb,0,32,32,otfe,Redirect,2025-03-27 13:41:06.502420,1,,,5.66,T2-T,1743082909.851135,1743085983.4463015,1,Chrome 134,failed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":18,""incorrectAttempts"":2}","{""correctAttempts"":18,""incorrectAttempts"":1}","{""correctAttempts"":21,""incorrectAttempts"":1}",1_3,25,25,25,25,25,25,25,1,A lot of effort to not reach an average payout.,8,8,3,5,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,20,,0.0,failed,25,25,25,25,25,25,25,2,2,2,100,100,4,4,,3,,,,,4,3,3,3,4,4,50,50,50,75,75,8,A lot of effort to not reach an average payout.,8,8,3,5,1,1
21,101n0wrt,674920f31516667cc3eb79d5,0,32,32,otfe,Redirect,2025-03-27 13:41:47.670453,1,,,1.09,T1-T-Info,1743082981.128005,1743088633.791371,1,Chrome 131,failed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":13,""incorrectAttempts"":3}","{""correctAttempts"":1,""incorrectAttempts"":0}","{""correctAttempts"":0,""incorrectAttempts"":0}",1,25,25,25,25,25,25,0,0,,9,9,8,9,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,21,,0.0,failed,25,25,25,0,25,25,25,2,2,2,0,0,1,1,,3,,,,,3,1,1,1,1,1,0,0,0,0,0,6,,9,9,8,9,1,1
22,rqen03n5,5ea720a669cae10d910fba3e,0,32,32,otfe,Redirect,2025-03-27 13:42:08.840526,1,,,4.35,T1-T-NoInfo,1743082931.061228,1743086333.565605,1,Chrome 134,failed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":13,""incorrectAttempts"":1}","{""correctAttempts"":13,""incorrectAttempts"":0}","{""correctAttempts"":17,""incorrectAttempts"":0}",2_3,25,45,25,25,25,40,25,0,,3,5,6,5,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,22,,0.0,failed,25,45,25,25,25,25,40,2,2,2,75,75,4,4,,2,500,,,,1,2,2,3,3,4,0,0,25,60,80,12,,3,5,6,5,1,1
23,x6t1ofva,6630e7a69b4d00def2eedf8a,0,32,32,otfe,Redirect,2025-03-27 13:42:14.739480,1,,,5.57,T1-P,1743082944.720792,1743085571.3099236,1,Safari 17,failed,0,0,0,"{""correctAttempts"":6,""incorrectAttempts"":1}","{""correctAttempts"":16,""incorrectAttempts"":0}","{""correctAttempts"":22,""incorrectAttempts"":0}","{""correctAttempts"":23,""incorrectAttempts"":0}",2,25,50,50,20,22,30,50,1,N/A,10,10,9,9,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,23,,0.0,failed,25,50,50,50,22,20,30,2,2,2,50,50,3,3,,2,200,,,,3,1,1,3,4,4,100,100,75,80,100,12,N/A,10,10,9,9,1,1
24,fpnv86qm,6603412311cbee9e33dbf46e,0,32,32,otfe,Redirect,2025-03-27 13:42:59.586633,1,,,6.85,C-Info,1743082981.7048013,1743085784.6678114,1,Chrome 134,failed,1,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":1}","{""correctAttempts"":19,""incorrectAttempts"":3}","{""correctAttempts"":19,""incorrectAttempts"":4}",1,25,25,25,25,25,25,25,1,,8,8,7,8,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,24,,0.0,failed,25,25,25,25,25,25,25,2,2,2,20,60,2,3,,3,,,,,4,3,3,3,4,4,55,60,65,80,82,10,,8,8,7,8,1,1
25,1sjem5im,67ad27dea19c84fec0002b17,0,32,32,otfe,Redirect,2025-03-27 13:43:02.135516,1,,,5.84,C-NoInfo,1743082990.9658496,1743085604.1033332,1,Safari 18,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":13,""incorrectAttempts"":1}","{""correctAttempts"":13,""incorrectAttempts"":2}","{""correctAttempts"":17,""incorrectAttempts"":1}",3,25,25,25,25,25,25,25,1,I thought it was great. I would love to do more studies like this in the future. ,10,10,10,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,25,,0.0,passed,25,25,25,25,25,25,25,2,2,2,100,100,4,4,,2,50,,,,4,1,3,3,3,3,0,20,50,50,50,11,I thought it was great. I would love to do more studies like this in the future. ,10,10,10,10,1,1
26,ngih1tsn,60dc4e2299f89a7ca94b2c91,0,1,32,otfe,Welcome,2025-03-27 13:43:04.612188,1,,,0.0,T2-T,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,26,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
27,0o8d9cqb,66512fcae6ee0568b12cde76,0,32,32,otfe,Redirect,2025-03-27 13:48:22.545966,1,,,4.35,T1-T-Info,1743083331.5793412,1743086446.5474398,1,Chrome 134,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":13,""incorrectAttempts"":0}","{""correctAttempts"":15,""incorrectAttempts"":0}","{""correctAttempts"":15,""incorrectAttempts"":0}",2_3,25,33,22,18,21,12,23,0,,10,10,10,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,27,,0.0,passed,25,33,22,23,21,18,12,2,2,2,80,80,4,4,,2,1500,,,,4,2,2,3,4,4,90,85,95,100,100,6,,10,10,10,10,1,1
28,mhntbzr3,63c047ef36e1348b19bb8010,0,32,32,otfe,Redirect,2025-03-27 13:50:24.346397,1,,,4.3,T1-T-NoInfo,1743083554.9753096,1743088947.0366173,1,Chrome 134,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":8,""incorrectAttempts"":0}","{""correctAttempts"":8,""incorrectAttempts"":0}","{""correctAttempts"":16,""incorrectAttempts"":0}",2,25,25,0,20,23,20,25,1,,10,10,10,8,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,28,,0.0,passed,25,25,0,25,23,20,20,2,2,2,100,100,4,4,,3,,,,,5,1,2,3,4,4,100,100,100,100,100,4,,10,10,10,8,1,1
29,6p6izroe,67689554da72fe70b3d039da,0,32,32,otfe,Redirect,2025-03-27 13:51:34.903958,1,,,2.4,T1-P,1743083521.2927642,1743086558.860418,1,Chrome 134,failed,0,0,0,"{""correctAttempts"":7,""incorrectAttempts"":0}","{""correctAttempts"":6,""incorrectAttempts"":0}","{""correctAttempts"":11,""incorrectAttempts"":1}","{""correctAttempts"":15,""incorrectAttempts"":0}",1,29,23,15,15,26,20,10,0,This is a lovely survey ,9,8,8,8,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,29,,0.0,failed,29,23,15,10,26,15,20,2,2,2,45,50,4,3,,4,300,,,,4,3,3,4,2,3,35,49,59,30,60,4,This is a lovely survey ,9,8,8,8,1,1
30,njzjtww7,67806e9d273c2547826d1d8b,0,32,32,otfe,Redirect,2025-03-27 13:51:53.666977,1,,,7.54,C-Info,1743083520.38848,1743085912.185523,1,Chrome 134,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":19,""incorrectAttempts"":1}","{""correctAttempts"":24,""incorrectAttempts"":0}","{""correctAttempts"":24,""incorrectAttempts"":1}",1_3,25,50,25,33,15,15,50,0,It all made sense to me.,10,10,10,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,30,,0.0,passed,25,50,25,50,15,33,15,2,2,2,75,75,3,3,,5,1000,,,,2,1,1,1,3,3,5,5,5,51,60,12,It all made sense to me.,10,10,10,10,1,1
31,0any2f9b,6405feae7d6321bfaaf793e8,0,32,32,otfe,Redirect,2025-03-27 13:52:24.997469,1,,,5.74,C-NoInfo,1743083558.364156,1743085929.5200865,1,Chrome 134,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":1}","{""correctAttempts"":17,""incorrectAttempts"":0}","{""correctAttempts"":20,""incorrectAttempts"":0}",1_3,25,30,25,30,30,35,25,0,No feedback ,10,10,7,9,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,31,,0.0,passed,25,30,25,25,30,30,35,2,2,2,90,90,4,4,,3,,,,,3,2,2,3,4,4,10,20,55,98,99,1,No feedback ,10,10,7,9,1,1
