participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.attention_check,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.belief_bonus,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.name,session.config.participation_fee,session.config.development,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation,otfe.1.player.survey_one_time_policies,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
5,k7c57aos,5d6920acf59886000119e73e,0,29,29,otfe,Redirect,2025-02-21 14:57:38.112927,1,,,6.04,T1-T-NoInfo,1740149869.1508574,1740152924.2193851,1,Chrome 133,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":19,""incorrectAttempts"":0}","{""correctAttempts"":18,""incorrectAttempts"":3}","{""correctAttempts"":23,""incorrectAttempts"":0}",2,25,50,50,25,25,50,25,0,I thought everything went smooth. ,10,10,10,10,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,5,,0.0,passed,25,50,50,25,25,25,50,2,2,2,3,3,2,4,,,3,1,2,2,3,4,4,I thought everything went smooth. ,10,10,10,10,1,1
6,udxiwvkk,663b52235d299050aeb29aca,0,1,29,otfe,Welcome,2025-02-21 15:00:09.552563,1,,,0.0,C-Info,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
7,meshxssw,5eb18087e9d94a27f784874b,0,29,29,otfe,Redirect,2025-02-21 15:14:06.232135,1,,,3.44,T2-T,1740150850.148936,1740153503.1568463,1,Chrome 133,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":13,""incorrectAttempts"":0}","{""correctAttempts"":9,""incorrectAttempts"":1}","{""correctAttempts"":11,""incorrectAttempts"":0}",3,25,25,25,17,20,30,25,1,,6,6,5,3,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,7,,0.0,passed,25,25,25,25,20,17,30,2,2,2,3,3,2,3,,,3,2,2,2,2,3,3,,6,6,5,3,1,1
8,fc4jfs9e,652e8b28a8cbaf32300b45fd,0,29,29,otfe,Redirect,2025-02-21 15:15:31.085949,1,,,2.02,T1-P,1740150939.2509215,1740153791.6795838,1,Chrome 128,failed,0,0,"{""correctAttempts"":6,""incorrectAttempts"":1}","{""correctAttempts"":11,""incorrectAttempts"":0}","{""correctAttempts"":10,""incorrectAttempts"":0}","{""correctAttempts"":6,""incorrectAttempts"":0}",1,25,25,20,10,15,10,50,0,,10,10,8,6,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,8,,0.0,failed,25,25,20,50,15,10,10,2,2,2,4,4,2,4,,,2,4,3,3,3,3,3,,10,10,8,6,1,1
9,czu4mo6b,638a3fd5992f01b81d0e1e93,0,29,29,otfe,Redirect,2025-02-21 15:22:17.407701,1,,,3.7,C-NoInfo,1740151382.5538719,1740155307.7087598,1,Chrome 133,failed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":2}","{""correctAttempts"":7,""incorrectAttempts"":0}","{""correctAttempts"":10,""incorrectAttempts"":0}","{""correctAttempts"":7,""incorrectAttempts"":1}",1_3,25,26,27,27,26,27,25,1,,9,10,9,4,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,9,,0.0,failed,25,26,27,25,26,27,27,2,2,2,4,4,1,3,,,1,1,3,3,3,4,4,,9,10,9,4,1,1
10,keyt92fq,67857b540449990fd75059db,0,29,29,otfe,Redirect,2025-02-21 15:30:33.620527,1,,,0.6,T1-T-Info,1740151841.0156977,1740154405.8191264,1,Chrome 133,failed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":2}","{""correctAttempts"":2,""incorrectAttempts"":2}","{""correctAttempts"":2,""incorrectAttempts"":2}","{""correctAttempts"":2,""incorrectAttempts"":2}",1_3,25,27,27,5,10,30,25,0,,10,7,10,10,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,10,,0.0,failed,25,27,27,25,10,5,30,2,2,2,2,2,3,3,,,3,4,3,3,3,3,4,,10,7,10,10,1,1
11,4un8qcod,55899b8dfdf99b7ae47f5fa4,0,29,29,otfe,Redirect,2025-02-21 15:30:38.119933,1,,,4.8,T1-T-NoInfo,1740151855.5727105,1740154877.0659711,1,Edge 133,passed,0,0,"{""correctAttempts"":7,""incorrectAttempts"":2}","{""correctAttempts"":16,""incorrectAttempts"":0}","{""correctAttempts"":15,""incorrectAttempts"":2}","{""correctAttempts"":17,""incorrectAttempts"":2}",1,26,40,15,25,24,40,20,0,Nice study! Great experience!,10,10,10,10,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,11,,0.0,passed,26,40,15,20,24,25,40,2,2,2,4,3,4,4,,,4,4,4,3,3,3,3,Nice study! Great experience!,10,10,10,10,1,1
12,4hj1ikir,665dfe5f6729405c7a6595b9,0,29,29,otfe,Redirect,2025-02-21 15:31:47.326066,1,,,2.8,C-Info,1740151909.5718002,1740156580.0432727,1,Chrome 133,failed,0,0,"{""correctAttempts"":8,""incorrectAttempts"":0}","{""correctAttempts"":8,""incorrectAttempts"":0}","{""correctAttempts"":2,""incorrectAttempts"":0}","{""correctAttempts"":6,""incorrectAttempts"":0}",1,25,30,25,25,30,25,25,1,,5,5,5,5,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,12,,0.0,failed,25,30,25,25,30,25,25,2,2,2,3,3,3,3,,,3,3,2,3,4,4,4,,5,5,5,5,1,1
13,ha2o6a84,676dbd268078cef1bf1f0582,0,29,29,otfe,Redirect,2025-02-21 16:09:31.543187,1,,,4.39,T2-T,1740154192.0092173,1740157758.147452,1,Chrome 130,failed,0,0,"{""correctAttempts"":10,""incorrectAttempts"":1}","{""correctAttempts"":15,""incorrectAttempts"":0}","{""correctAttempts"":18,""incorrectAttempts"":0}","{""correctAttempts"":19,""incorrectAttempts"":0}",3,25,25,30,26,23,10,20,0,I was very comfortable with the instructions.,10,10,10,8,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,13,,0.0,failed,25,25,30,20,23,26,10,2,2,2,5,3,5,3,,,2,5,3,3,4,4,2,I was very comfortable with the instructions.,10,10,10,8,1,1
14,dagopud1,671c06594c622a4180fa48e8,0,4,29,otfe,Instructions,2025-02-21 16:30:55.345797,1,,,0.0,T1-P,1740156442.2650173,,,Chrome 133,,0,0,,,,,1_3,,,,,,,,,,,,,,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,14,,0.0,Chrome 133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
15,namdn6x9,63254db937c17e8e9200fd54,0,29,29,otfe,Redirect,2025-02-21 16:56:18.582392,1,,,6.85,C-NoInfo,1740156994.9265232,1740160051.7097573,1,Chrome 133,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":15,""incorrectAttempts"":0}","{""correctAttempts"":18,""incorrectAttempts"":1}","{""correctAttempts"":19,""incorrectAttempts"":0}",3,25,25,25,30,20,25,25,1,,10,10,10,8,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,15,,0.0,passed,25,25,25,25,20,30,25,2,2,2,4,3,2,4,,,3,1,1,2,3,4,4,,10,10,10,8,1,1
16,t74xjfny,66293db7e0d7455abf6064c1,0,29,29,otfe,Redirect,2025-02-21 17:53:48.949607,1,,,3.86,T1-T-Info,1740160462.9555123,1740163048.146081,1,Chrome 131,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":14,""incorrectAttempts"":0}","{""correctAttempts"":11,""incorrectAttempts"":3}","{""correctAttempts"":14,""incorrectAttempts"":0}",1,25,60,15,22,25,75,50,0,,7,9,1,1,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,16,,0.0,passed,25,60,15,50,25,22,75,2,2,2,4,4,3,3,,,5,1,3,3,3,3,3,,7,9,1,1,1,1
17,boq3fpcq,63cff262503b56190be3eb18,0,29,29,otfe,Redirect,2025-02-21 17:53:49.759574,1,,,1.5,T1-T-NoInfo,1740160433.342077,1740162959.1770813,1,Chrome 133,passed,0,1,"{""correctAttempts"":5,""incorrectAttempts"":2}","{""correctAttempts"":8,""incorrectAttempts"":2}","{""correctAttempts"":2,""incorrectAttempts"":1}","{""correctAttempts"":6,""incorrectAttempts"":0}",1,23,45,45,26,25,35,36,0,"i understood everything fine, translating the greek language is hard. Thanks",10,10,5,9,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,17,,0.0,passed,23,45,45,36,25,26,35,2,2,2,5,5,3,3,,,4,2,3,3,4,4,4,"i understood everything fine, translating the greek language is hard. Thanks",10,10,5,9,1,1
18,gefkeq1d,671dbdc5832887cd06ced6be,0,29,29,otfe,Redirect,2025-02-21 17:53:52.225238,1,,,4.26,C-Info,1740160441.2936642,1740163432.7767978,1,Edge 133,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":5}","{""correctAttempts"":9,""incorrectAttempts"":2}","{""correctAttempts"":8,""incorrectAttempts"":4}","{""correctAttempts"":12,""incorrectAttempts"":1}",1,25,25,25,25,25,25,25,1,"It would have been great to see what the mistakes were on the practice round. Something like put the correct translation, not blurred out.",10,10,10,10,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,18,,0.0,passed,25,25,25,25,25,25,25,2,2,2,3,3,2,3,,,4,1,3,4,4,4,4,"It would have been great to see what the mistakes were on the practice round. Something like put the correct translation, not blurred out.",10,10,10,10,1,1
19,qi69q1cr,6700913b83a64ec85e20319a,0,29,29,otfe,Redirect,2025-02-21 17:53:58.085412,1,,,3.46,T2-T,1740160458.8341277,1740163437.3634186,1,Chrome 133,passed,0,0,"{""correctAttempts"":6,""incorrectAttempts"":1}","{""correctAttempts"":13,""incorrectAttempts"":2}","{""correctAttempts"":15,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":2}",1,23,25,15,20,21,25,18,0,A little tedious but different.,9,10,6,5,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,19,,0.0,passed,23,25,15,18,21,20,25,2,2,2,3,3,3,4,,,5,1,3,3,4,4,4,A little tedious but different.,9,10,6,5,1,1
20,aajlgod0,6699469d177ba339d6c4648b,0,29,29,otfe,Redirect,2025-02-21 17:53:59.393530,1,,,4.95,T1-P,1740160491.5570219,1740165817.9554245,1,Chrome 133,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":2}","{""correctAttempts"":19,""incorrectAttempts"":1}","{""correctAttempts"":21,""incorrectAttempts"":1}","{""correctAttempts"":26,""incorrectAttempts"":0}",1,25,50,50,17,27,50,50,0,"Everything went smoothly in this study. I am actually confused about the tax rate now, because the study told me I was to receive a 50% tax cut for the rest of the study, but I answered 50% on study 3 and hypothetical 4 and got no bonus. Perhaps I read something wrong.",4,5,5,5,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,20,,0.0,passed,25,50,50,50,27,17,50,2,2,2,4,3,3,3,,,2,5,3,3,3,4,4,"Everything went smoothly in this study. I am actually confused about the tax rate now, because the study told me I was to receive a 50% tax cut for the rest of the study, but I answered 50% on study 3 and hypothetical 4 and got no bonus. Perhaps I read something wrong.",4,5,5,5,1,1
21,j1ex6mup,5c6a36214fbf270001311702,0,29,29,otfe,Redirect,2025-02-21 17:54:04.236416,1,,,5.29,C-NoInfo,1740165057.9577467,1740169657.384773,1,Chrome 133,passed,0,0,"{""correctAttempts"":6,""incorrectAttempts"":2}","{""correctAttempts"":13,""incorrectAttempts"":2}","{""correctAttempts"":15,""incorrectAttempts"":1}","{""correctAttempts"":19,""incorrectAttempts"":3}",1_2,23,35,25,45,37,20,25,0,"5 stars and flawless! I'm so sorry but I did not notice the button to proceed for the 5 practice exercises until much later. I continued to decipher because I thought it would automatically stop after 5. Thank you for the opportunity, it was such a fun study fand a pleasure participating.  After this exercise, I'm now interested in learning Greek and just added it to my Duolingo account!",10,9,10,10,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,21,,0.0,passed,23,35,25,25,37,45,20,2,2,2,5,5,3,3,,,5,3,2,2,3,4,4,"5 stars and flawless! I'm so sorry but I did not notice the button to proceed for the 5 practice exercises until much later. I continued to decipher because I thought it would automatically stop after 5. Thank you for the opportunity, it was such a fun study fand a pleasure participating.  After this exercise, I'm now interested in learning Greek and just added it to my Duolingo account!",10,9,10,10,1,1
22,8cpvfask,5fa4c21a04bc5912180291bc,0,29,29,otfe,Redirect,2025-02-21 17:54:17.378442,1,,,8.61,T1-T-Info,1740161570.6927068,1740167353.7371955,1,Edge 133,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":19,""incorrectAttempts"":0}","{""correctAttempts"":28,""incorrectAttempts"":2}","{""correctAttempts"":27,""incorrectAttempts"":6}",1_3,25,50,25,25,25,50,25,1,":-)    i would be happy knowing, if there were others who were taxed higher, and more often, than i had    i could only wish, i was allowed to employ Backspace to strike mistakes    also: a task like this, couldn't be considered *strictly* an assessment of one's skill in transcribing  or, even, visual acuity    as, there was an element of Manual Dexterity at play, also: in determining the rate at which one could get those greeks in the field",10,10,10,10,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,22,,0.0,passed,25,50,25,25,25,25,50,2,2,2,4,4,1,5,,,3,3,1,1,2,3,4,":-)    i would be happy knowing, if there were others who were taxed higher, and more often, than i had    i could only wish, i was allowed to employ Backspace to strike mistakes    also: a task like this, couldn't be considered *strictly* an assessment of one's skill in transcribing  or, even, visual acuity    as, there was an element of Manual Dexterity at play, also: in determining the rate at which one could get those greeks in the field",10,10,10,10,1,1
23,qoh3d8gx,67649958fca93b9f7f15f2ea,0,29,29,otfe,Redirect,2025-02-21 17:54:21.470618,1,,,3.08,T1-T-NoInfo,1740160542.9229195,1740164954.8863873,1,Chrome 124,failed,0,0,"{""correctAttempts"":7,""incorrectAttempts"":0}","{""correctAttempts"":8,""incorrectAttempts"":1}","{""correctAttempts"":8,""incorrectAttempts"":1}","{""correctAttempts"":14,""incorrectAttempts"":1}",1_3,25,21,25,20,23,23,23,0,The study was very interesting as it kept my mind engaged all the time. ,10,10,10,10,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,23,,0.0,failed,25,21,25,23,23,20,23,2,2,2,4,5,4,1,,,5,4,4,3,3,4,3,The study was very interesting as it kept my mind engaged all the time. ,10,10,10,10,1,1
24,318ivgr0,674011683b76e5c1d8ef4710,0,29,29,otfe,Redirect,2025-02-21 17:54:21.769288,1,,,6.4,C-Info,1740160478.630313,1740163149.7828853,1,Chrome 128,failed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":17,""incorrectAttempts"":0}","{""correctAttempts"":18,""incorrectAttempts"":0}","{""correctAttempts"":13,""incorrectAttempts"":1}",2,24,25,25,30,27,25,25,1,,8,9,9,9,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,24,,0.0,failed,24,25,25,25,27,30,25,2,2,2,4,3,4,2,,,2,2,2,2,3,4,4,,8,9,9,9,1,1
25,6hhqd2ig,6604613c980e905f7748e9c1,0,1,29,otfe,Welcome,2025-02-21 17:54:25.816414,1,,,0.0,T2-T,,,,,,0,0,,,,,3,,,,,,,,,,,,,,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
26,dsgnai9g,55d7844969dbc30012b67f69,0,29,29,otfe,Redirect,2025-02-21 17:54:26.885525,1,,,3.45,T1-P,1740160473.008604,1740163753.1236603,1,Chrome 132,failed,0,0,"{""correctAttempts"":18,""incorrectAttempts"":1}","{""correctAttempts"":15,""incorrectAttempts"":0}","{""correctAttempts"":16,""incorrectAttempts"":0}","{""correctAttempts"":15,""incorrectAttempts"":3}",1_3,18,15,50,20,22,25,50,0,,9,8,6,4,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,26,,0.0,failed,18,15,50,50,22,20,25,2,2,2,4,4,3,3,,,4,1,1,2,2,2,2,,9,8,6,4,1,1
27,03k67hxv,672ccd77bc2278204fd460d7,0,29,29,otfe,Redirect,2025-02-21 17:54:31.756552,1,,,7.3,C-NoInfo,1740160511.4541936,1740163400.018495,1,Chrome 132,failed,0,1,"{""correctAttempts"":7,""incorrectAttempts"":1}","{""correctAttempts"":17,""incorrectAttempts"":0}","{""correctAttempts"":18,""incorrectAttempts"":1}","{""correctAttempts"":21,""incorrectAttempts"":0}",3,25,25,25,25,25,25,25,1,Amazing study.. ,10,9,10,10,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,27,,0.0,failed,25,25,25,25,25,25,25,2,2,2,5,5,2,2,,,1,2,2,3,4,4,4,Amazing study.. ,10,9,10,10,1,1
28,551vwtjf,63ae31ff5c725a41082afc56,0,4,29,otfe,Instructions,2025-02-21 17:54:42.952857,1,,,0.0,T1-T-Info,1740160488.1914093,,,Chrome 133,,0,0,,,,,3,,,,,,,,,,,,,,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,28,,0.0,Chrome 133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
29,eaozmg5x,66318eecf4b2dd2836d910d8,0,29,29,otfe,Redirect,2025-02-21 17:54:52.675659,1,,,6.17,T1-T-NoInfo,1740160504.022856,1740163076.874188,1,Chrome 133,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":15,""incorrectAttempts"":1}","{""correctAttempts"":17,""incorrectAttempts"":0}","{""correctAttempts"":19,""incorrectAttempts"":0}",2_3,25,30,25,22,28,25,30,1,NA,9,9,10,10,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,29,,0.0,passed,25,30,25,30,28,22,25,2,2,2,4,4,3,2,,,3,4,3,3,4,2,2,NA,9,9,10,10,1,1
30,52ervmr5,663e3c2870a87bac315ac450,0,29,29,otfe,Redirect,2025-02-21 17:54:55.247984,1,,,6.85,C-Info,1740160501.8266244,1740162779.9822137,1,Chrome 133,failed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":15,""incorrectAttempts"":2}","{""correctAttempts"":17,""incorrectAttempts"":1}","{""correctAttempts"":20,""incorrectAttempts"":1}",2,20,25,25,22,23,24,25,1,,10,10,10,10,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,30,,0.0,failed,20,25,25,25,23,22,24,2,2,2,4,4,3,3,,,3,2,2,3,3,4,4,,10,10,10,10,1,1
