participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.development,session.config.real_world_currency_per_point,session.config.name,session.config.participation_fee,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation,otfe.1.player.survey_one_time_policies,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
11,4pyts6ba,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,1,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
12,5fd1wosr,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
13,o4a1iv8e,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,13,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
14,9m3fh6kp,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
15,3b5l0ww2,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
16,b3x92sdr,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
17,uxl7nkor,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,1,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
18,1w422zwu,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,1_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
19,lxc7fvly,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
20,4ytxhd2s,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,1,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,20,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
21,p1z8y8mh,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,21,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
22,739eczos,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
23,u7hh01il,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,23,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
24,j9nup1by,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,1,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,24,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
25,8kdwy7by,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
26,unrzu9kl,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,26,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
27,2i4b1lzw,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,1,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
28,i6efy6ag,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,28,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
29,e6uelf5r,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,29,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
30,tu95z4qq,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,30,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
31,rsvfjfoa,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,31,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
32,dwzkfpmj,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,32,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
33,gj2narx0,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,33,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
34,jyaq1ypr,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,1,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,34,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
35,19zkj07j,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,35,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
36,3x8mu8aj,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,36,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
37,vyibes4r,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,37,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
38,6sx51chc,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,38,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
39,sbbko936,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,39,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
40,7yy4dw2c,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,40,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
41,v3fv2lj9,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,41,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
42,n1ciohps,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,1,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
43,3r6ydl7e,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,1,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,43,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
44,oy3tqktb,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,44,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
45,buoz53tz,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,1,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,45,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
46,862ag1ju,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,1,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,46,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
47,o3koftfe,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,47,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
48,hxkju825,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,48,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
49,gtzeuwjm,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,49,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
50,hdg19t0m,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,50,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
51,iykt21no,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,51,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
52,91bv7pwg,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,52,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
53,4dzo804z,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,53,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
54,csjey6zg,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,1_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,54,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
55,7qlq59sj,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,55,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
56,6rktqaro,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,56,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
57,ye3jg464,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,57,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
58,5uuo4ajg,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,58,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
59,v8vtvja9,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,59,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
60,0d4a3vk5,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,1_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,60,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
61,z07t7hb8,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,61,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
62,2r835y34,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,62,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
63,o1gfydgx,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,63,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
64,s6bom0h3,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,64,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
65,ic5qjwzt,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,65,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
66,dcyx9v1y,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,66,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
67,uy16x8vl,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,67,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
68,l0djxupv,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,1_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,68,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
69,13u6yomr,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,1,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,69,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
70,7vqz9rvv,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,1_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,70,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
71,pyr1mhl8,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,1_2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,71,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
