participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.attention_check,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.cq_3_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.belief_bonus,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.development,session.config.name,session.config.participation_fee,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans_likelihood,otfe.1.player.survey_student_loans_with,otfe.1.player.survey_student_loans_without,otfe.1.player.survey_student_loans_with_likert,otfe.1.player.survey_student_loans_without_likert,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings_likelihood,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_savings_number,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation_likelihood,otfe.1.player.survey_repatriation,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.survey_tax_rates_1_prob,otfe.1.player.survey_tax_rates_2_prob,otfe.1.player.survey_tax_rates_3_prob,otfe.1.player.survey_tax_rates_4_prob,otfe.1.player.survey_tax_rates_5_prob,otfe.1.player.annual_income,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
5,ywrmn6qc,63d79d065189719c8393e3eb,0,32,32,otfe,Redirect,2025-04-09 13:14:50.939511,1,,,7.19,C-Info,1744204566.0944064,1744207271.5373678,1,Chrome 135,failed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":4}","{""correctAttempts"":16,""incorrectAttempts"":4}","{""correctAttempts"":20,""incorrectAttempts"":3}","{""correctAttempts"":19,""incorrectAttempts"":5}",1,25,25,25,27,30,25,25,1,,8,9,9,10,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,5,,0.0,failed,25,25,25,25,30,27,25,2,2,2,3,65,30,3,2,,2,4,200,,,,3,3,3,3,4,4,4,55,60,75,80,95,1,,8,9,9,10,1,1
6,ic90290v,60f09796c2a24694ff43f6b7,0,32,32,otfe,Redirect,2025-04-09 13:15:43.035386,1,,,2.33,T1-P,1744204555.645128,1744207535.1180959,1,Chrome 93,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":9,""incorrectAttempts"":0}","{""correctAttempts"":11,""incorrectAttempts"":3}","{""correctAttempts"":11,""incorrectAttempts"":4}",1,25,50,50,25,25,30,50,0,"Thanks for the study and the tax was high on my small earnings, just like in the real world..taxes are to high for the middle class and to low for the wealthy!!! ",10,10,8,9,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,6,,0.0,passed,25,50,50,50,25,25,30,2,2,2,1,20,80,2,3,,3,1,50,,,,3,2,2,3,4,3,3,10,25,50,35,60,7,"Thanks for the study and the tax was high on my small earnings, just like in the real world..taxes are to high for the middle class and to low for the wealthy!!! ",10,10,8,9,1,1
7,l8bgq7y0,656621c12123fab75fe96106,0,1,32,otfe,Welcome,2025-04-09 13:15:57.662035,1,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
8,rxwcrso2,6524305322b1779f67502b35,0,32,32,otfe,Redirect,2025-04-09 13:16:08.941273,1,,,2.81,T1-T-Info,1744206005.7308395,1744210494.8439763,1,Chrome 134,failed,0,1,0,"{""correctAttempts"":6,""incorrectAttempts"":1}","{""correctAttempts"":9,""incorrectAttempts"":3}","{""correctAttempts"":9,""incorrectAttempts"":1}","{""correctAttempts"":10,""incorrectAttempts"":1}",1_3,25,30,21,30,27,35,50,0,No comment.,10,10,9,7,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,8,,0.0,failed,25,30,21,50,27,30,35,2,2,2,5,65,75,4,4,,4,4,12,,,,4,4,4,3,2,3,2,75,60,40,75,55,11,No comment.,10,10,9,7,1,1
9,4wair2du,67191a586acc04aabd3c80cc,0,32,32,otfe,Redirect,2025-04-09 13:17:46.183629,1,,,4.65,T2-T,1744204669.7736273,1744208209.645856,1,Chrome 135,failed,0,0,0,"{""correctAttempts"":7,""incorrectAttempts"":1}","{""correctAttempts"":11,""incorrectAttempts"":2}","{""correctAttempts"":13,""incorrectAttempts"":1}","{""correctAttempts"":18,""incorrectAttempts"":0}",2,25,25,26,35,20,22,25,1,,9,9,9,9,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,9,,0.0,failed,25,25,26,25,20,35,22,2,2,2,2,5,5,4,4,,2,3,,,,,2,2,3,3,3,2,2,5,5,5,0,0,8,,9,9,9,9,1,1
10,2tv1l3kx,60d3370ae32bc81e9f0c6279,0,1,32,otfe,Welcome,2025-04-09 13:17:50.831827,1,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,2,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
11,q8gapkny,5c03582c1a20110001e9843a,0,32,32,otfe,Redirect,2025-04-09 13:18:57.911606,1,,,1.35,C-Info,1744204744.8395255,1744207459.4728317,1,Chrome 135,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":6,""incorrectAttempts"":2}","{""correctAttempts"":6,""incorrectAttempts"":0}","{""correctAttempts"":0,""incorrectAttempts"":0}",1,2,40,25,9,6,21,25,0,,10,10,10,10,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,11,,0.0,passed,2,40,25,25,6,9,21,2,2,2,1,100,100,4,4,,4,4,200,,,,3,2,4,1,2,4,4,50,5,5,80,100,7,,10,10,10,10,1,1
12,ljc1lblg,5d0b7d3a1c9a4e001a11dd19,0,4,32,otfe,Instructions,2025-04-09 13:18:57.934977,1,,,0.0,T1-P,1744204750.6646998,,,Chrome 134,,0,0,0,,,,,2_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,12,,0.0,Chrome 134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
13,pta5adzj,6734c699d11234d19b0be0ec,0,32,32,otfe,Redirect,2025-04-09 13:19:41.694303,1,,,3.36,C-NoInfo,1744204799.61877,1744208354.909566,1,Chrome 129,failed,0,1,1,"{""correctAttempts"":5,""incorrectAttempts"":9}","{""correctAttempts"":5,""incorrectAttempts"":2}","{""correctAttempts"":7,""incorrectAttempts"":0}","{""correctAttempts"":9,""incorrectAttempts"":0}",1,25,25,25,25,25,10,10,1,N/A,10,10,10,10,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,13,,0.0,failed,25,25,25,10,25,25,10,2,2,2,3,60,60,3,3,,4,3,,,,,4,1,3,4,3,3,3,10,10,10,15,12,11,N/A,10,10,10,10,1,1
14,59m8c01k,60fd835ac72c40ff4dcb4554,0,32,32,otfe,Redirect,2025-04-09 13:20:13.543624,1,,,3.6,T1-T-Info,1744204824.0298078,1744207948.537732,1,Chrome 134,passed,0,0,0,"{""correctAttempts"":6,""incorrectAttempts"":1}","{""correctAttempts"":9,""incorrectAttempts"":1}","{""correctAttempts"":12,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":0}",1,25,40,60,25,23,30,30,0,"I felt myself thinking about the current political environment in the US and trying to make my decisions based on what the political environment might be in the next 1,3,5 years.",10,8,8,9,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,14,,0.0,passed,25,40,60,30,23,25,30,2,2,2,1,20,20,2,2,,2,3,,,,,2,3,2,2,2,2,3,60,50,40,50,50,4,"I felt myself thinking about the current political environment in the US and trying to make my decisions based on what the political environment might be in the next 1,3,5 years.",10,8,8,9,1,1
15,xm8rfjf7,63f794e7d8d24753edbbb136,0,32,32,otfe,Redirect,2025-04-09 13:20:40.907786,1,,,0.0,T2-T,1744204849.7650297,1744208243.2241743,1,Chrome 132,passed,0,0,0,"{""correctAttempts"":8,""incorrectAttempts"":2}","{""correctAttempts"":0,""incorrectAttempts"":0}","{""correctAttempts"":0,""incorrectAttempts"":0}","{""correctAttempts"":0,""incorrectAttempts"":0}",2,25,90,25,25,25,25,25,0,,10,10,8,8,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,15,,0.0,passed,25,90,25,25,25,25,25,2,2,2,2,10,20,2,2,,4,3,,,,,4,3,3,3,3,3,4,30,30,40,45,60,4,,10,10,8,8,1,1
16,yrkw3frr,6643c77e0c522dd6c4be1bd1,0,32,32,otfe,Redirect,2025-04-09 13:21:44.675261,1,,,4.88,T1-T-NoInfo,1744204918.1949227,1744207311.7675843,1,Chrome 135,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":14,""incorrectAttempts"":2}","{""correctAttempts"":16,""incorrectAttempts"":2}","{""correctAttempts"":18,""incorrectAttempts"":1}",3,25,30,30,20,27,25,22,0,,8,9,7,6,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,16,,0.0,passed,25,30,30,22,27,20,25,2,2,2,2,70,60,3,3,,1,3,,,,,4,3,1,2,3,4,4,20,40,75,90,100,7,,8,9,7,6,1,1
17,0otnbl7x,672ff021dad78d519a50f64a,0,32,32,otfe,Redirect,2025-04-09 13:23:03.388801,1,,,6.17,C-Info,1744205009.4841807,1744208044.64794,1,Chrome 134,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":2}","{""correctAttempts"":13,""incorrectAttempts"":2}","{""correctAttempts"":15,""incorrectAttempts"":0}","{""correctAttempts"":18,""incorrectAttempts"":0}",2,25,26,25,27,22,24,25,1,,10,10,10,10,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,17,,0.0,passed,25,26,25,25,22,27,24,2,2,2,4,100,99,4,4,,4,3,,,,,2,4,2,3,4,4,4,15,60,100,100,100,1,,10,10,10,10,1,1
18,oe352gsd,667c7501f888c2f1e76c031b,0,32,32,otfe,Redirect,2025-04-09 13:23:06.615343,1,,,3.15,T1-P,1744205005.8281715,1744207900.152148,1,Safari 17,failed,0,0,0,"{""correctAttempts"":6,""incorrectAttempts"":0}","{""correctAttempts"":13,""incorrectAttempts"":3}","{""correctAttempts"":12,""incorrectAttempts"":0}","{""correctAttempts"":17,""incorrectAttempts"":0}",1_3,22,23,40,30,15,30,38,0,,1,2,2,2,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,18,,0.0,failed,22,23,40,38,15,30,30,2,2,2,3,50,45,3,4,,3,4,30,,,,3,4,2,3,3,3,3,5,15,15,20,40,3,,1,2,2,2,1,1
19,4s43ol75,636547c2b26e5248a9d03c01,0,32,32,otfe,Redirect,2025-04-09 13:24:41.240855,1,,,9.44,C-NoInfo,1744205085.5150068,1744207504.6763458,1,Edge 135,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":2}","{""correctAttempts"":22,""incorrectAttempts"":1}","{""correctAttempts"":25,""incorrectAttempts"":0}","{""correctAttempts"":28,""incorrectAttempts"":0}",1,23,22,23,22,17,23,21,1,none,10,10,10,10,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,19,,0.0,passed,23,22,23,21,17,22,23,2,2,2,4,55,55,3,3,,3,3,,,,,3,3,1,1,3,3,3,12,15,20,22,25,8,none,10,10,10,10,1,1
20,vp9ssa9u,62b32a0ea4ec7b2c14906e26,0,4,32,otfe,Instructions,2025-04-09 13:24:50.335250,1,,,0.0,T1-T-Info,1744205099.8685496,,,Chrome 135,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,20,,0.0,Chrome 135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
21,qarxannh,65f2f210fae0e4129f5dfdd1,0,32,32,otfe,Redirect,2025-04-09 13:28:53.108137,1,,,3.2,T2-T,1744205344.2248325,1744208445.8901644,1,Chrome 135,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":11,""incorrectAttempts"":1}","{""correctAttempts"":13,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":0}",1_3,25,50,95,22,26,75,90,0,thank you,10,10,10,10,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,21,,0.0,passed,25,50,95,90,26,22,75,2,2,2,4,100,100,4,4,,5,1,2000,,,,3,3,2,3,4,4,4,10,25,50,100,100,11,thank you,10,10,10,10,1,1
22,x5aaqrct,67c1fd8fd3ef65aaad4ba892,0,32,32,otfe,Redirect,2025-04-09 13:28:54.244881,1,,,3.06,T1-T-NoInfo,1744205357.8520598,1744209957.982191,1,Chrome 135,failed,0,1,0,"{""correctAttempts"":5,""incorrectAttempts"":2}","{""correctAttempts"":8,""incorrectAttempts"":6}","{""correctAttempts"":8,""incorrectAttempts"":6}","{""correctAttempts"":5,""incorrectAttempts"":10}",1_2,25,50,25,25,25,50,50,1,,10,9,10,9,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,22,,0.0,failed,25,50,25,50,25,25,50,2,2,2,4,75,75,3,4,,3,3,,,,,3,3,2,2,3,3,3,25,25,25,25,25,3,,10,9,10,9,1,1
23,xqyw0nx9,665c989703b2609ce0e958ad,0,32,32,otfe,Redirect,2025-04-09 13:30:06.237824,1,,,7.3,C-Info,1744205409.5777862,1744208260.1292922,1,Chrome 134,failed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":16,""incorrectAttempts"":1}","{""correctAttempts"":19,""incorrectAttempts"":2}","{""correctAttempts"":21,""incorrectAttempts"":4}",2,0,25,25,0,0,25,25,1,It was fun. ,10,10,10,10,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,23,,0.0,failed,0,25,25,25,0,0,25,2,2,2,4,100,100,4,4,,2,3,,,,,4,3,1,2,3,3,4,100,80,60,75,90,4,It was fun. ,10,10,10,10,1,1
24,sor3vzmu,65fb7207db270373fa2db455,0,32,32,otfe,Redirect,2025-04-09 13:30:27.835042,1,,,3.85,T1-P,1744205438.9558067,1744208673.7388778,1,Chrome 135,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":11,""incorrectAttempts"":0}","{""correctAttempts"":13,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":0}",2_3,25,50,50,25,25,50,50,1,No comment.,8,9,8,8,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,24,,0.0,passed,25,50,50,50,25,25,50,2,2,2,3,60,60,3,3,,2,3,,,,,2,2,1,2,3,4,4,15,25,50,60,80,1,No comment.,8,9,8,8,1,1
25,iprs6x6a,663e9e90e7e0acca1b1ce46b,0,4,32,otfe,Instructions,2025-04-09 13:31:31.366158,1,,,0.0,C-NoInfo,1744205560.7012677,,,Chrome 126,,0,0,0,,,,,1_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,25,,0.0,Chrome 126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
26,ysigcvit,6266a87a7adacd7a91cabc93,0,32,32,otfe,Redirect,2025-04-09 13:33:17.778014,1,,,4.35,T1-T-Info,1744205610.89931,1744208167.27932,1,Safari 18,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":10,""incorrectAttempts"":2}","{""correctAttempts"":14,""incorrectAttempts"":1}","{""correctAttempts"":18,""incorrectAttempts"":2}",3,25,70,40,28,30,75,25,0,,10,10,8,8,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,26,,0.0,passed,25,70,40,25,30,28,75,2,2,2,2,90,99,3,4,,3,3,,,,,3,3,3,3,4,4,4,75,80,90,99,99,6,,10,10,8,8,1,1
27,mxdk2ad4,63c3068bd61c16717eeea2e5,0,4,32,otfe,Instructions,2025-04-09 13:33:35.329984,1,,,0.0,T2-T,1744206376.5902247,,,Chrome 135,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,27,,0.0,Chrome 135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
28,05du55iz,676e468736ae0c0d06bd4403,0,32,32,otfe,Redirect,2025-04-09 13:34:54.982754,1,,,4.45,T1-T-NoInfo,1744205715.5340672,1744209266.0122366,1,Chrome 135,failed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":13,""incorrectAttempts"":2}","{""correctAttempts"":15,""incorrectAttempts"":0}","{""correctAttempts"":7,""incorrectAttempts"":2}",1_3,13,23,26,26,23,26,26,1,thank you,10,10,10,10,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,28,,0.0,failed,13,23,26,26,23,26,26,2,2,2,2,10,70,2,3,,2,3,,,,,3,4,2,3,4,4,4,15,40,95,99,99,8,thank you,10,10,10,10,1,1
29,xiq0bx1t,56cc78e3ccc0e20006b82a7d,0,32,32,otfe,Redirect,2025-04-09 13:35:18.050153,1,,,6.86,C-Info,1744205722.6184127,1744208430.8473353,1,Chrome 135,failed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":4}","{""correctAttempts"":18,""incorrectAttempts"":2}","{""correctAttempts"":19,""incorrectAttempts"":3}","{""correctAttempts"":24,""incorrectAttempts"":1}",2_3,25,25,25,20,22,50,25,0,"No issues, questions, comments, or concerns, thanks!",10,10,10,10,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,29,,0.0,failed,25,25,25,25,22,20,50,2,2,2,1,100,100,4,4,,4,3,,,,,5,5,2,3,4,4,4,18,55,65,85,99,3,"No issues, questions, comments, or concerns, thanks!",10,10,10,10,1,1
30,temkz9vu,5c5c7f9cdff4b30001aa79a5,0,32,32,otfe,Redirect,2025-04-09 13:36:11.099081,1,,,4.13,T1-P,1744205778.6377356,1744208896.1420734,1,Chrome 135,failed,0,0,0,"{""correctAttempts"":7,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":2}","{""correctAttempts"":19,""incorrectAttempts"":1}","{""correctAttempts"":22,""incorrectAttempts"":0}",1_2,25,25,50,20,22,30,50,0,,10,10,10,10,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,30,,0.0,failed,25,25,50,50,22,20,30,2,2,2,2,20,20,3,3,,2,3,,,,,2,3,3,3,4,4,4,30,50,50,50,100,11,,10,10,10,10,1,1
