session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page,
zdsr8yhe,2,dxl2s4jg,7,otfe,CQS,1739060342,1,0,0,
zdsr8yhe,2,dxl2s4jg,8,otfe,InstructionsBeliefs,1739060379,1,0,0,
zdsr8yhe,2,dxl2s4jg,9,otfe,Beliefs1,1739060468,1,0,0,
zdsr8yhe,2,dxl2s4jg,10,otfe,Transition1,1739060470,1,0,0,
zdsr8yhe,1,i4495el9,5,otfe,Instructions2,1739061008,1,0,0,
zdsr8yhe,1,i4495el9,6,otfe,TaxInstructions,1739061021,1,0,0,
zdsr8yhe,1,i4495el9,7,otfe,CQS,1739061031,1,0,0,
zdsr8yhe,1,i4495el9,8,otfe,InstructionsBeliefs,1739061054,1,0,0,
zdsr8yhe,2,dxl2s4jg,11,otfe,Work1,1739061071,1,1,0,
zdsr8yhe,2,dxl2s4jg,12,otfe,EndOfWork1,1739061084,1,0,0,
zdsr8yhe,2,dxl2s4jg,14,otfe,Beliefs2,1739061099,1,0,0,
zdsr8yhe,2,dxl2s4jg,15,otfe,Transition2,1739061100,1,0,0,
zdsr8yhe,1,i4495el9,9,otfe,Beliefs1,1739061112,1,0,0,
zdsr8yhe,1,i4495el9,10,otfe,Transition1,1739061115,1,0,0,
zdsr8yhe,2,dxl2s4jg,16,otfe,Work2,1739061701,1,1,0,
zdsr8yhe,1,i4495el9,11,otfe,Work1,1739061715,1,1,0,
zdsr8yhe,1,i4495el9,12,otfe,EndOfWork1,1739061728,1,0,0,
zdsr8yhe,2,dxl2s4jg,17,otfe,EndOfWork2,1739061736,1,0,0,
zdsr8yhe,2,dxl2s4jg,18,otfe,Beliefs3,1739061742,1,0,0,
zdsr8yhe,2,dxl2s4jg,19,otfe,Transition3,1739061744,1,0,0,
zdsr8yhe,1,i4495el9,14,otfe,Beliefs2,1739062189,1,0,0,
zdsr8yhe,1,i4495el9,15,otfe,Transition2,1739062191,1,0,0,
zdsr8yhe,2,dxl2s4jg,20,otfe,Work3,1739062345,1,1,0,
zdsr8yhe,2,dxl2s4jg,21,otfe,EndOfWork3,1739062352,1,0,0,
zdsr8yhe,2,dxl2s4jg,22,otfe,Beliefs4,1739062364,1,0,0,
zdsr8yhe,2,dxl2s4jg,23,otfe,Transition4,1739062374,1,0,0,
zdsr8yhe,2,dxl2s4jg,24,otfe,Survey,1739062475,1,0,0,
zdsr8yhe,2,dxl2s4jg,25,otfe,Survey2,1739062542,1,0,0,
zdsr8yhe,2,dxl2s4jg,26,otfe,Outcome,1739062551,1,0,0,
zdsr8yhe,2,dxl2s4jg,27,otfe,Feedback,1739062576,1,0,0,
zdsr8yhe,2,dxl2s4jg,28,otfe,Finished,1739062582,1,0,0,
zdsr8yhe,3,3nhhskx8,0,,InitializeParticipant,1739062739,1,0,0,
zdsr8yhe,3,3nhhskx8,1,otfe,Welcome,1739062744,1,0,0,
zdsr8yhe,3,3nhhskx8,2,otfe,Consent,1739062748,1,0,0,
zdsr8yhe,3,3nhhskx8,3,otfe,About,1739062770,1,0,0,
zdsr8yhe,1,i4495el9,16,otfe,Work2,1739062791,1,1,0,
zdsr8yhe,1,i4495el9,17,otfe,EndOfWork2,1739062812,1,0,0,
zdsr8yhe,1,i4495el9,18,otfe,Beliefs3,1739062824,1,0,0,
zdsr8yhe,1,i4495el9,19,otfe,Transition3,1739062827,1,0,0,
zdsr8yhe,3,3nhhskx8,4,otfe,Instructions,1739062941,1,0,0,
zdsr8yhe,3,3nhhskx8,5,otfe,Instructions2,1739062955,1,0,0,
zdsr8yhe,3,3nhhskx8,6,otfe,TaxInstructions,1739062985,1,0,0,
zdsr8yhe,3,3nhhskx8,7,otfe,CQS,1739062999,1,0,0,
zdsr8yhe,3,3nhhskx8,8,otfe,InstructionsBeliefs,1739063048,1,0,0,
zdsr8yhe,3,3nhhskx8,9,otfe,Beliefs1,1739063081,1,0,0,
zdsr8yhe,3,3nhhskx8,10,otfe,Transition1,1739063087,1,0,0,
zdsr8yhe,4,2ce5ayeu,0,,InitializeParticipant,1739063426,1,0,0,
zdsr8yhe,1,i4495el9,20,otfe,Work3,1739063427,1,1,0,
zdsr8yhe,1,i4495el9,21,otfe,EndOfWork3,1739063433,1,0,0,
zdsr8yhe,1,i4495el9,22,otfe,Beliefs4,1739063440,1,0,0,
zdsr8yhe,1,i4495el9,23,otfe,Transition4,1739063442,1,0,0,
zdsr8yhe,4,2ce5ayeu,1,otfe,Welcome,1739063476,1,0,0,
zdsr8yhe,4,2ce5ayeu,2,otfe,Consent,1739063486,1,0,0,
zdsr8yhe,4,2ce5ayeu,3,otfe,About,1739063496,1,0,0,
zdsr8yhe,1,i4495el9,24,otfe,Survey,1739063522,1,0,0,
zdsr8yhe,1,i4495el9,25,otfe,Survey2,1739063599,1,0,0,
zdsr8yhe,1,i4495el9,26,otfe,Outcome,1739063618,1,0,0,
zdsr8yhe,1,i4495el9,27,otfe,Feedback,1739063654,1,0,0,
zdsr8yhe,1,i4495el9,28,otfe,Finished,1739063656,1,0,0,
zdsr8yhe,3,3nhhskx8,11,otfe,Work1,1739063687,1,1,0,
zdsr8yhe,4,2ce5ayeu,4,otfe,Instructions,1739063690,1,0,0,
zdsr8yhe,4,2ce5ayeu,5,otfe,Instructions2,1739063704,1,0,0,
zdsr8yhe,3,3nhhskx8,12,otfe,EndOfWork1,1739063707,1,0,0,
zdsr8yhe,3,3nhhskx8,14,otfe,Beliefs2,1739063721,1,0,0,
zdsr8yhe,3,3nhhskx8,15,otfe,Transition2,1739063723,1,0,0,
zdsr8yhe,4,2ce5ayeu,6,otfe,TaxInstructions,1739063725,1,0,0,
zdsr8yhe,4,2ce5ayeu,7,otfe,CQS,1739063749,1,0,0,
zdsr8yhe,4,2ce5ayeu,8,otfe,InstructionsBeliefs,1739063774,1,0,0,
zdsr8yhe,4,2ce5ayeu,9,otfe,Beliefs1,1739063845,1,0,0,
zdsr8yhe,4,2ce5ayeu,10,otfe,Transition1,1739063848,1,0,0,
zdsr8yhe,3,3nhhskx8,16,otfe,Work2,1739064323,1,1,0,
zdsr8yhe,3,3nhhskx8,17,otfe,EndOfWork2,1739064329,1,0,0,
zdsr8yhe,3,3nhhskx8,18,otfe,Beliefs3,1739064335,1,0,0,
zdsr8yhe,3,3nhhskx8,19,otfe,Transition3,1739064337,1,0,0,
zdsr8yhe,4,2ce5ayeu,11,otfe,Work1,1739064449,1,1,0,
zdsr8yhe,4,2ce5ayeu,12,otfe,EndOfWork1,1739064463,1,0,0,
zdsr8yhe,4,2ce5ayeu,14,otfe,Beliefs2,1739064492,1,0,0,
zdsr8yhe,4,2ce5ayeu,15,otfe,Transition2,1739064496,1,0,0,
zdsr8yhe,3,3nhhskx8,20,otfe,Work3,1739064938,1,1,0,
zdsr8yhe,3,3nhhskx8,21,otfe,EndOfWork3,1739064943,1,0,0,
zdsr8yhe,3,3nhhskx8,22,otfe,Beliefs4,1739064957,1,0,0,
zdsr8yhe,3,3nhhskx8,23,otfe,Transition4,1739064975,1,0,0,
zdsr8yhe,3,3nhhskx8,24,otfe,Survey,1739065060,1,0,0,
zdsr8yhe,4,2ce5ayeu,16,otfe,Work2,1739065097,1,1,0,
zdsr8yhe,4,2ce5ayeu,17,otfe,EndOfWork2,1739065104,1,0,0,
zdsr8yhe,4,2ce5ayeu,18,otfe,Beliefs3,1739065115,1,0,0,
zdsr8yhe,3,3nhhskx8,25,otfe,Survey2,1739065163,1,0,0,
zdsr8yhe,3,3nhhskx8,26,otfe,Outcome,1739065173,1,0,0,
zdsr8yhe,4,2ce5ayeu,19,otfe,Transition3,1739065178,1,0,0,
zdsr8yhe,3,3nhhskx8,27,otfe,Feedback,1739065195,1,0,0,
zdsr8yhe,3,3nhhskx8,28,otfe,Finished,1739065199,1,0,0,
zdsr8yhe,4,2ce5ayeu,20,otfe,Work3,1739065778,1,1,0,
zdsr8yhe,4,2ce5ayeu,21,otfe,EndOfWork3,1739065782,1,0,0,
zdsr8yhe,4,2ce5ayeu,22,otfe,Beliefs4,1739065802,1,0,0,
zdsr8yhe,4,2ce5ayeu,23,otfe,Transition4,1739065819,1,0,0,
zdsr8yhe,4,2ce5ayeu,24,otfe,Survey,1739065884,1,0,0,
zdsr8yhe,4,2ce5ayeu,25,otfe,Survey2,1739065942,1,0,0,
zdsr8yhe,4,2ce5ayeu,26,otfe,Outcome,1739065945,1,0,0,
zdsr8yhe,4,2ce5ayeu,27,otfe,Feedback,1739065977,1,0,0,
zdsr8yhe,4,2ce5ayeu,28,otfe,Finished,1739065982,1,0,0,
