participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.attention_check,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.belief_bonus,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.development,session.config.real_world_currency_per_point,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation,otfe.1.player.survey_one_time_policies,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
11,swfry4t6,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
12,eaj9wlgt,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
13,krg2vvzd,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,13,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
14,6eoihafc,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
15,c5wzred6,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
16,gvq7qsoz,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
17,rqfr64qz,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
18,ix856ifk,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
19,kg8y3g78,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
20,rlhk270g,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,20,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
21,1c6mzqe4,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,21,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
22,k8s7anw9,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
23,cwazm8i8,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,23,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
24,6mb8ylfo,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,24,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
25,dtm3t0ym,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
26,uvp9mtep,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,26,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
27,v9lc9wq6,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
28,xs0iibsw,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,28,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
29,sir9eooi,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,29,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
30,zsy1uoom,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,30,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
31,w1q1mo5w,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,31,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
32,nubrj66v,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,32,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
33,q206bnl7,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,33,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
34,hq3es7ls,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,34,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
35,r0jyjfeq,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,35,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
36,icp3awm0,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,36,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
37,ptkxa5ah,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,37,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
38,u846sggb,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,38,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
39,d012ci8u,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,39,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
40,bej2wnjk,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,40,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
41,ie3wwwkq,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,41,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
42,82gp4p65,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
43,4b8ea2f6,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,43,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
44,fx9eipnp,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,44,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
45,kfgm5ojs,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,45,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
46,7jyrhrba,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,46,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
47,jzfzanj8,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,47,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
48,n8ohcbc9,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,48,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
49,keuw83lg,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,49,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
50,q9jcr3ml,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,50,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
51,mfrx0yju,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,51,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
52,s2qyj0ss,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,52,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
53,rq3f0ydy,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,53,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
54,x5vffai1,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,54,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
55,u327b1d6,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,55,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
56,lc508b6s,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,56,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
57,j38bn8g8,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,57,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
58,ah4ylpfv,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,58,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
59,wnqmb1bg,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,59,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
60,grh0i93n,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,60,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
61,5c9gimm7,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,61,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
62,p5i2al3h,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,62,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
63,sn08v00h,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,63,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
64,s6scy9u7,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,64,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
65,ng7q959k,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,65,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
66,dba0oqo2,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,66,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
67,lizaor11,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,67,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
68,eo1yee17,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,68,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
69,so3079dj,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,69,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
70,6ub2koec,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,70,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
