attention_check,duration_minutes,participant.payoff,participant.treatment,training_correctAttempts,work_1_correctAttempts,work_2_correctAttempts,work_3_correctAttempts,training_incorrectAttempts,work_1_incorrectAttempts,work_2_incorrectAttempts,work_3_incorrectAttempts,participant.label,survey_student_loans_with_likert,survey_student_loans_without_likert,survey_student_loans_with,survey_student_loans_without,survey_student_loans_likelihood,survey_wealth_tax_savings_likelihood,survey_wealth_tax_savings,survey_wealth_tax_savings_number,survey_repatriation,survey_repatriation_likelihood,survey_tax_rates_1,survey_tax_rates_2,survey_tax_rates_3,survey_tax_rates_4,survey_tax_rates_5,survey_tax_rates_1_prob,survey_tax_rates_2_prob,survey_tax_rates_3_prob,survey_tax_rates_4_prob,survey_tax_rates_5_prob,annual_income,beliefs1,beliefs1_2,beliefs2,beliefs1_3,beliefs2_3,beliefs3,beliefs4,feedback,feedback_difficulty,feedback_understanding,feedback_satisfied,feedback_pay,cq_1_mistakes,cq_2_mistakes,cq_3_mistakes
failed,76.66883552074432,3.06,T1-T-NoInfo,5,8,8,5,2,6,6,10,67c1fd8fd3ef65aaad4ba892,Likely,Very Likely,75,75,4,3,No change,NA,No change,3,Unlikely,Unlikely,Likely,Likely,Likely,25,25,25,25,25,3,25,25,50,25,50,25,50,NA,10,9,10,9,0,1,0
failed,47.50919176737467,7.3,C-Info,5,16,19,21,1,1,2,4,665c989703b2609ce0e958ad,Very Likely,Very Likely,100,100,4,2,No change,NA,No change,4,Very unlikely,Unlikely,Likely,Likely,Very likely,100,80,60,75,90,4,0,0,25,0,25,25,25,It was fun.,10,10,10,10,0,0,0
passed,53.91305118401845,3.85,T1-P,5,11,13,14,0,0,0,0,65fb7207db270373fa2db455,Likely,Likely,60,60,3,2,No change,NA,Discourage,2,Very unlikely,Unlikely,Likely,Very likely,Very likely,15,25,50,60,80,1,25,25,50,25,50,50,50,No comment.,8,9,8,8,0,0,0
passed,42.60633349816005,4.35,T1-T-Info,5,10,14,18,0,2,1,2,6266a87a7adacd7a91cabc93,Likely,Very Likely,90,99,2,3,No change,NA,No change,3,Likely,Likely,Very likely,Very likely,Very likely,75,80,90,99,99,6,25,30,70,28,75,40,25,NA,10,10,8,8,0,0,0
failed,59.17463615735372,4.45,T1-T-NoInfo,5,13,15,7,1,2,0,2,676e468736ae0c0d06bd4403,Unlikely,Likely,10,70,2,2,No change,NA,Encourage,3,Unlikely,Likely,Very likely,Very likely,Very likely,15,40,95,99,99,8,13,23,23,26,26,26,26,thank you,10,10,10,10,0,0,0
failed,45.13714870611827,6.86,C-Info,5,18,19,24,4,2,3,1,56cc78e3ccc0e20006b82a7d,Very Likely,Very Likely,100,100,1,4,No change,NA,Definitely encourage,5,Unlikely,Likely,Very likely,Very likely,Very likely,18,55,65,85,99,3,25,22,25,20,50,25,25,"No issues, questions, comments, or concerns, thanks!",10,10,10,10,0,0,0
failed,51.9584056297938,4.13,T1-P,7,14,19,22,0,2,1,0,5c5c7f9cdff4b30001aa79a5,Likely,Likely,20,20,2,2,No change,NA,No change,2,Likely,Likely,Very likely,Very likely,Very likely,30,50,50,50,100,11,25,22,25,20,30,50,50,NA,10,10,10,10,0,0,0
passed,54.07716753880183,7.97,C-NoInfo,11,22,20,20,2,1,1,4,67785c6b67b1b323d4bc5421,Likely,Very unlikely,100,100,1,3,Save somewhat less,100,Encourage,4,Likely,Very likely,Very likely,Likely,Likely,20,50,80,50,70,8,25,25,23,25,25,25,25,NA,8,8,10,10,0,0,0
failed,53.828125166893,4.49,T1-T-Info,5,9,12,13,1,0,1,1,6785f0d3adcf1ffc11119d0e,Likely,Likely,60,60,4,4,Save somewhat more,1000,Encourage,4,Likely,Likely,Very likely,Likely,Likely,25,45,70,25,50,12,25,25,25,25,25,25,25,All was good,10,10,10,7,0,0,0
passed,38.308868579069774,5.33,T2-T,5,18,18,27,1,2,2,2,5ef459442f85d701235bf29e,Very Likely,Very Likely,90,90,4,1,No change,NA,Discourage,1,Very unlikely,Very unlikely,Very unlikely,Unlikely,Likely,10,20,25,30,60,3,25,23,50,28,10,25,25,NA,8,10,10,10,0,0,0
failed,48.676540942986804,3.11,T1-T-NoInfo,5,7,10,13,3,0,1,1,5842fc63bd63a400010f6ae7,Likely,Likely,80,80,2,3,Save much less,1000,Discourage,4,Very unlikely,Very unlikely,Likely,Very likely,Very likely,100,100,75,100,100,7,25,20,50,10,50,50,25,NA,10,10,10,10,0,0,0
passed,46.361866076787315,7.86,C-Info,5,18,18,25,1,0,3,1,6717cc939f9d7977b10d85f5,Very unlikely,Very unlikely,10,10,1,4,Save somewhat less,150,Encourage,4,Likely,Likely,Very likely,Likely,Likely,2,5,5,7,10,7,25,21,25,23,35,25,25,"very neat survey, was engaging and thoughtful",10,10,10,10,0,0,0
passed,50.00969289541244,3.9,T1-P,7,15,17,20,1,0,1,0,66a95d70975d6208dbb70c1e,Likely,Likely,40,45,4,4,No change,NA,Discourage,2,Unlikely,Unlikely,Likely,Very likely,Very likely,10,15,45,50,55,11,22,23,30,25,45,45,39,I felt comfortable with this study. it was actually fun for me to complete. The directions were very clear and simple.,10,10,10,10,0,0,0
failed,37.68278848727544,7.72,T1-T-Info,5,22,27,27,0,0,0,2,6596d692ac956830b68776e0,Very Likely,Very Likely,90,90,4,4,No change,NA,No change,5,Very unlikely,Unlikely,Likely,Very likely,Very likely,100,20,60,100,100,8,25,30,30,40,25,10,25,NA,9,10,8,9,0,0,0
failed,52.93691569566727,3.55,T2-T,8,12,13,17,1,2,4,2,677d8df4fb855e239a363f89,Likely,Very unlikely,10,10,2,2,No change,NA,No change,2,Likely,Unlikely,Likely,Likely,Likely,10,10,10,10,10,3,25,25,25,25,25,25,25,NA,5,6,4,9,0,0,1
failed,44.30132173299789,7.71,T1-T-NoInfo,5,19,23,24,0,0,0,0,5f4fef64fd3fc113300fbb44,Very Likely,Likely,99,90,3,4,No change,NA,Discourage,5,Unlikely,Likely,Likely,Very likely,Very likely,20,50,80,90,95,6,25,30,40,35,50,25,25,NA,8,9,8,9,0,0,0
failed,58.407288606961565,2.91,C-Info,16,7,4,6,4,2,0,0,67d47007556388f637dab7ef,Likely,Likely,20,20,1,3,Save somewhat more,20,Encourage,4,Likely,Very likely,Very likely,Likely,Very likely,15,20,25,30,30,9,25,23,25,25,25,25,25,NA,9,10,9,8,0,0,0
failed,55.92291999260585,2.18,T1-P,5,7,9,13,5,3,2,0,671d0e626505134afb4dc9d3,Unlikely,Likely,30,60,4,4,Save somewhat more,200,Discourage,2,Unlikely,Unlikely,Unlikely,Likely,Likely,5,15,25,60,75,6,25,27,26,24,24,50,50,None,10,10,10,10,0,0,0
passed,55.55408074061076,4.26,C-NoInfo,6,10,10,9,0,1,1,1,66a337531d9c242e4a71267a,Likely,Likely,50,65,2,4,Save somewhat more,800,Discourage,2,Very unlikely,Unlikely,Likely,Likely,Very likely,15,25,35,45,65,10,25,26,25,23,25,25,25,Everythink was okay,10,10,10,10,0,0,0
failed,60.138008666038516,4.3,T1-T-Info,5,11,11,11,1,0,0,0,674983ea9f65836cfc55078d,Likely,Likely,25,25,3,4,No change,NA,Discourage,4,Likely,Likely,Likely,Very likely,Very likely,25,25,25,30,30,11,25,23,20,28,25,25,15,NICE STUDY,10,10,10,10,0,1,1
failed,61.30964908202489,3.68,T2-T,22,13,16,15,0,1,0,0,60e5cb4ca01a593fce9a379d,Likely,Unlikely,25,20,3,3,Save somewhat more,1500,Discourage,2,Likely,Likely,Likely,Unlikely,Unlikely,45,40,45,55,66,11,25,23,25,26,22,26,23,Survey is very interesting.,10,10,10,10,0,0,0
failed,43.87734868923823,5.65,T1-T-NoInfo,5,14,12,20,1,2,2,0,611605de0a30eebef2479dc3,Unlikely,Unlikely,20,20,3,2,No change,NA,Encourage,4,Likely,Likely,Likely,Likely,Likely,40,40,40,60,70,8,25,25,25,25,25,25,25,NA,9,10,9,10,0,0,0
passed,58.94759171803792,4.5,C-Info,5,12,10,18,0,1,1,2,677d6b29b44ccabd2fce33cb,Unlikely,Unlikely,35,25,4,4,No change,NA,Discourage,4,Very unlikely,Very unlikely,Unlikely,Unlikely,Likely,10,10,25,40,60,2,5,15,25,10,25,25,25,"The part about predicting the tax rate was a bit confusing, but I think that was intended. The rest of the instructions were clear and the study was interesting! Thanks!",7,8,9,10,0,0,0
passed,44.458120715618136,4.72,T1-P,5,18,21,24,0,0,2,0,6787fc73447911339adec589,Likely,Very Likely,80,75,4,3,Save much less,700,Discourage,3,Likely,Likely,Very likely,Very likely,Very likely,10,20,40,70,100,11,25,25,50,25,50,50,50,NA,10,10,10,10,0,0,0
failed,86.03966001272201,4.71,C-NoInfo,6,10,13,10,2,0,0,0,67d34cb37287d4934dee886d,Likely,Very Likely,17,15,3,4,No change,NA,Definitely discourage,4,Very unlikely,Unlikely,Unlikely,Likely,Very likely,10,15,25,60,80,11,25,23,25,25,25,25,25,NA,10,7,9,4,0,0,0
passed,43.922517255942026,5.69,T1-T-Info,5,13,15,18,2,2,1,1,643b53b6aeaabf186d24e099,Likely,Likely,80,80,3,3,No change,NA,No change,3,Likely,Likely,Likely,Very likely,Very likely,90,90,90,100,100,4,25,25,25,25,25,1,25,thanks. i sure do hope those transcribed words were pleasant.,9,9,10,9,0,0,0
failed,66.016688032945,2.06,T2-T,6,10,7,10,2,0,2,0,671704c87bf3abe9ae644622,Likely,Likely,45,50,2,1,Save somewhat more,500,No change,3,Likely,Very likely,Very likely,Unlikely,Unlikely,35,50,75,25,45,10,25,30,85,28,45,35,25,NA,7,6,6,4,0,0,0
passed,71.08553198973338,1.69,T1-T-NoInfo,8,3,5,8,2,4,1,1,5e42f74f5b772a18434cabf7,Likely,Likely,50,50,3,4,No change,NA,Discourage,3,Unlikely,Unlikely,Likely,Likely,Very likely,40,30,50,100,100,1,25,10,25,0,0,0,25,Hi I had it rough Idk if its my mouse or what Im sure its on my end . I had to watch every type stroke because if I would click a letter it will put it down in duplicate so i could not go as fast as I wanted but overall it worked out just wish I could have made more but I did well considering the extra challenge  ty,9,9,9,9,0,0,0
failed,128.91020664374034,5.06,C-Info,6,14,14,17,0,2,3,1,61bb396840db417c1a138e3d,Likely,Unlikely,50,30,3,4,No change,NA,Discourage,4,Unlikely,Unlikely,Likely,Very likely,Very likely,20,60,57,75,80,7,25,22,22,20,20,25,25,NA,9,9,9,7,0,0,0
failed,54.57710446516673,2.85,T1-P,6,12,12,14,1,0,3,1,66318e38a23001971c128033,Very Likely,Very Likely,100,100,2,3,No change,NA,Definitely discourage,2,Very unlikely,Unlikely,Likely,Very likely,Very likely,100,80,85,100,100,7,25,22,50,20,50,50,50,These instructions were very easy to follow. I also enjoyed the challenge of taking part in the typing game.,8,8,10,10,0,0,0
passed,60.40370043118795,11.35,C-NoInfo,5,29,29,34,0,0,0,1,674480168cc2dad8fc619be0,Likely,Likely,75,60,3,4,Save somewhat less,200,Encourage,4,Very unlikely,Very unlikely,Likely,Very likely,Very likely,5,10,60,75,95,11,25,28,28,32,28,26,25,NA,9,9,9,9,0,0,0
passed,74.87468067010244,2.5,T1-T-Info,5,5,5,5,1,1,1,1,589ce4d65e63bf00013b3175,Unlikely,Unlikely,15,10,4,4,No change,NA,No change,4,Likely,Very likely,Very likely,Very likely,Very likely,50,60,75,80,90,1,25,25,50,25,75,15,20,NA,10,10,10,10,0,0,0
failed,71.04941024382909,0.59,T2-T,5,2,1,4,5,3,0,1,5e9f657265908b0fcacb1839,Unlikely,Unlikely,33,45,2,3,Save somewhat more,25,No change,3,Unlikely,Unlikely,Likely,Likely,Likely,25,28,30,42,48,1,25,25,24,25,54,25,24,NA,10,7,10,10,0,0,0
failed,78.6732917547226,2.74,T1-T-NoInfo,5,5,11,10,1,3,1,0,66293a02f66f851f4c9fec39,Likely,Unlikely,50,35,4,2,Save much more,75,No change,4,Likely,Likely,Very likely,Likely,Likely,15,20,25,25,30,7,1,2,1,3,2,2,2,NA,10,10,10,10,0,0,0
passed,58.547642493247984,3.47,T1-P,5,7,10,16,1,0,0,0,6744f6b7f36802f73ce07b2c,Unlikely,Unlikely,35,20,3,4,No change,NA,Encourage,4,Likely,Likely,Very likely,Very likely,Likely,60,70,75,75,75,11,25,25,30,20,25,50,50,Thank you for an overall interesting study!,9,9,10,9,0,0,0
failed,43.39309813976288,5.74,T1-T-Info,5,15,19,22,0,2,2,1,67723428c7d8eee59166c865,Very Likely,Likely,65,55,5,4,No change,NA,Discourage,4,Likely,Likely,Likely,Likely,Very likely,5,15,25,60,80,5,25,25,25,25,25,25,25,good,10,10,10,10,0,0,0
passed,47.284053496519725,1.46,T2-T,5,16,1,1,1,1,0,0,64abee38a80dfb5e45212487,Likely,Likely,65,45,4,4,No change,NA,Discourage,4,Very unlikely,Very unlikely,Unlikely,Likely,Very likely,0,0,10,40,75,5,25,25,90,25,90,90,25,NA,10,10,5,4,0,0,0
passed,44.4881158431371,1.98,T1-P,5,13,0,0,1,0,0,0,66c38c380f6784a696195559,Likely,Likely,60,60,1,3,No change,NA,No change,2,Unlikely,Very likely,Very likely,Very likely,Very likely,0,100,100,100,100,9,25,30,50,35,50,50,50,NA,10,10,5,6,0,0,0
failed,63.845946204662326,6.29,C-NoInfo,6,13,15,19,0,1,1,0,664306747d76c0d7ada669e8,Unlikely,Unlikely,20,20,4,4,No change,NA,No change,2,Unlikely,Likely,Likely,Very likely,Very likely,5,40,40,60,95,8,25,25,25,25,25,25,25,The instructions were clear to me.,9,10,10,10,0,0,0
failed,48.962718387444816,4.15,T1-T-Info,5,9,11,11,0,0,0,1,665fc8123159edac3b65bd62,Very unlikely,Very unlikely,0,0,2,5,Save much more,1000,Definitely discourage,1,Very unlikely,Unlikely,Likely,Likely,Very likely,5,8,15,50,65,1,25,22,25,27,33,25,33,NA,10,10,10,10,0,0,0
passed,64.0281968553861,4.34,T2-T,6,5,12,17,0,0,0,0,67d38926020c512a895f0cc4,Likely,Likely,50,50,3,3,Save somewhat less,1000,No change,3,Likely,Likely,Likely,Likely,Likely,10,10,10,20,25,11,20,25,25,27,27,27,20,The study was great,9,9,9,9,0,0,0
failed,53.46021964550018,6.22,T1-T-NoInfo,5,17,19,25,0,3,4,0,5c8f224c9d2bff0001867ce2,Very Likely,Very Likely,100,85,1,1,No change,NA,Discourage,4,Very unlikely,Very unlikely,Very unlikely,Unlikely,Likely,0,3,5,15,35,8,25,27,25,30,45,30,25,NA,10,10,10,10,0,0,0
passed,56.25423289934794,4.38,C-Info,5,8,9,13,1,2,0,0,67ace9b8a3dada8f64274fd7,Unlikely,Unlikely,20,10,3,3,No change,NA,No change,3,Likely,Likely,Likely,Very likely,Very likely,20,20,30,40,45,12,25,25,25,25,25,25,25,No comments,10,10,10,10,0,0,0
failed,46.844792699813844,3.22,T1-P,5,20,2,21,0,0,0,0,61128d1fd41c74c6ee31a564,Likely,Likely,90,90,4,4,No change,NA,Encourage,4,Unlikely,Unlikely,Very likely,Very likely,Very likely,0,0,90,100,100,8,25,27,45,23,55,50,50,NA,10,10,4,7,0,0,0
failed,58.55473902622859,7.19,C-NoInfo,5,17,19,19,0,1,0,1,61496cada4d62f06804fa610,Likely,Likely,75,75,3,2,No change,NA,No change,2,Very unlikely,Unlikely,Likely,Likely,Very likely,90,70,45,60,70,4,28,37,30,34,33,27,25,"There was a part in the study where it said to click the word HERE. But, there was no hyperlink when my mouse hovered over it.  I'm not sure if I understood what the instructions meant by that. It didn't seem like an action took place. Not sure if my computer glitched.",9,9,10,10,0,0,0
passed,54.782005409399666,4.83,T1-T-Info,7,9,14,14,1,1,1,1,640b816df86dcee615619d0d,Likely,Likely,60,60,3,3,No change,NA,Encourage,3,Unlikely,Unlikely,Likely,Likely,Very likely,40,45,55,60,90,1,25,25,50,25,50,25,25,everything went well and was easy to understand,10,10,10,10,0,0,0
failed,51.23915761709213,2.12,T2-T,5,6,9,9,3,0,0,5,5d14c08b63f5660018e9c499,Very unlikely,Very unlikely,0,0,2,3,No change,NA,Discourage,4,Unlikely,Unlikely,Unlikely,Likely,Likely,0,10,10,20,40,11,25,20,50,15,70,25,25,None,10,10,8,6,0,0,0
failed,39.941721991697946,6.68,T1-T-NoInfo,5,20,23,23,0,0,1,1,6787d95bb2b74926ea16b506,Likely,Likely,60,60,3,4,No change,NA,Encourage,4,Very unlikely,Very unlikely,Likely,Likely,Likely,20,30,60,60,70,12,25,30,40,28,50,40,30,NA,10,10,10,8,0,0,0
failed,120.7305474360784,1.8,C-Info,6,7,8,1,0,0,0,0,67a6f7c1713b2f8290259434,Very Likely,Likely,85,70,2,4,Save somewhat less,200,Encourage,4,Unlikely,Unlikely,Likely,Very likely,Very likely,15,25,55,85,95,11,25,27,28,23,22,22,25,"The instructions were solid, and I appreciated the behavioral angle.",9,10,8,7,0,0,0
failed,40.50249323447545,3.45,T1-P,5,16,17,13,0,1,0,0,586ee444d22a5800014c54e8,Very Likely,Very Likely,100,100,3,2,No change,NA,No change,5,Unlikely,Unlikely,Unlikely,Unlikely,Likely,0,1,2,5,51,10,25,27,50,29,65,55,51,NA,10,10,9,9,0,0,0
failed,49.25445963939031,7.3,C-NoInfo,7,16,18,22,0,0,2,0,652597b2c458a7f8e354c6c3,Likely,Likely,70,70,3,3,No change,NA,No change,3,Likely,Likely,Likely,Likely,Likely,10,25,30,45,60,11,20,18,25,15,25,25,25,NA,10,10,10,9,0,1,0
passed,57.35922120809555,2.65,T1-T-Info,5,13,5,1,1,2,0,0,66df49caa6df07d77078a5fd,Unlikely,Likely,30,60,2,4,No change,NA,No change,1,Very unlikely,Unlikely,Likely,Likely,Very likely,15,25,60,80,95,6,24,27,40,15,30,15,25,NA,10,10,10,10,0,0,0
failed,64.03751472234725,3.09,T2-T,5,11,13,13,0,2,2,3,666e57a593be89c7850addc2,Likely,Unlikely,30,30,4,4,Save much more,300,Encourage,4,Very unlikely,Unlikely,Likely,Likely,Very likely,12,25,30,40,50,11,15,20,25,20,25,25,25,NA,10,10,6,6,0,0,0
failed,71.09577190478643,2.77,T1-T-NoInfo,6,16,7,7,1,2,2,2,66ed25ce5114149b9c97e578,Likely,Very Likely,70,60,2,4,Save somewhat more,100,Encourage,4,Very likely,Unlikely,Likely,Very likely,Very likely,5,15,70,90,95,8,25,27,40,22,35,30,25,N/A,10,10,10,10,0,1,0
failed,46.367924245198566,2.59,C-Info,5,6,7,10,2,1,1,0,60fe3a34f7f4d5e48ad56af2,Very unlikely,Very unlikely,0,0,1,3,Save somewhat more,10,Definitely discourage,5,Likely,Very likely,Very likely,Very likely,Very likely,25,30,40,50,55,5,25,25,30,25,31,30,25,NA,6,7,5,9,0,0,0
failed,59.62970609664917,2.85,T1-P,5,10,12,16,0,1,1,2,679154d304790eef1237fba1,Likely,Likely,50,75,3,1,Save much less,1000,Definitely discourage,4,Very likely,Likely,Likely,Likely,Likely,10,10,13,20,20,3,0,0,50,5,50,50,50,NA,7,9,5,5,0,0,0
failed,49.29231367905935,3.81,C-NoInfo,5,8,9,8,0,1,1,2,5e405a1cfce14d29997364da,Unlikely,Unlikely,5,5,4,4,Save somewhat less,100,No change,3,Likely,Likely,Very likely,Very likely,Very likely,20,20,40,55,65,8,25,20,25,15,25,25,25,I enjoyed the study.,10,10,10,10,0,0,0
