attention_check,duration_minutes,participant.payoff,participant.treatment,training_correctAttempts,work_1_correctAttempts,work_2_correctAttempts,work_3_correctAttempts,training_incorrectAttempts,work_1_incorrectAttempts,work_2_incorrectAttempts,work_3_incorrectAttempts,participant.label,survey_student_loans_with_likert,survey_student_loans_without_likert,survey_student_loans_with,survey_student_loans_without,survey_wealth_tax_savings,survey_wealth_tax_savings_number,survey_repatriation,survey_tax_rates_1,survey_tax_rates_2,survey_tax_rates_3,survey_tax_rates_4,survey_tax_rates_5,survey_tax_rates_1_prob,survey_tax_rates_2_prob,survey_tax_rates_3_prob,survey_tax_rates_4_prob,survey_tax_rates_5_prob,annual_income,beliefs1,beliefs1_2,beliefs2,beliefs1_3,beliefs2_3,beliefs3,beliefs4,feedback,feedback_difficulty,feedback_understanding,feedback_satisfied,feedback_pay
passed,43.76337385972341,5.72,C-Info,5,13,15,14,1,0,1,3,65672f832e481d65554c0bbc,Likely,Likely,50,50,Spend/consume much less,300,Discourage,Likely,Likely,Very likely,Likely,Very likely,35,50,100,45,75,6,30,25,15,15,25,25,25,study was fun,8,9,10,10
passed,39.64920191367467,6.62,C-NoInfo,5,11,17,22,1,3,2,0,5d2e07cac3651500019f0b0e,Unlikely,Likely,0,50,Spend/consume somewhat more,500,Encourage,Likely,Likely,Likely,Very likely,Very likely,30,30,30,70,70,10,20,25,25,27,27,25,25,NA,9,9,9,9
failed,71.55198614994684,0.88,T2-T,15,6,4,3,12,3,0,0,63daca8ae542ff8f19d3099a,Unlikely,Unlikely,10,25,Spend/consume somewhat less,100,No change,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,10,10,10,10,10,6,25,18,50,18,10,100,25,NA,10,10,9,9
failed,49.87175857226054,4.94,T1-T-Info,8,9,11,18,1,0,0,0,6117efedb574017076d5b499,Unlikely,Unlikely,25,25,Spend/consume somewhat less,500,No change,Very unlikely,Unlikely,Unlikely,Likely,Very likely,5,10,20,60,80,12,25,25,25,25,25,25,25,No comments.,10,10,10,10
failed,40.05047997236252,1.3,T1-T-NoInfo,7,4,0,0,0,0,0,0,5e307edef5abed05e1736185,Very unlikely,Very unlikely,10,10,No change,NA,No change,Likely,Likely,Likely,Likely,Likely,20,20,20,30,30,3,25,25,25,25,25,25,25,NA,10,10,10,10
failed,95.36105652252833,4.2,T1-P,36,17,20,19,6,0,1,2,63d2c192777fb7d26c001146,Likely,Very Likely,50,75,Spend/consume much less,50,Definitely encourage,Likely,Likely,Likely,Very unlikely,Very unlikely,20,50,75,0,0,2,25,50,25,75,75,50,50,NA,10,10,10,10
failed,52.4798866947492,6.29,C-NoInfo,7,15,15,17,3,1,2,1,673726b38e7451a580f3c624,Very unlikely,Very unlikely,0,0,No change,NA,Encourage,Likely,Likely,Likely,Very unlikely,Unlikely,10,25,30,0,5,5,25,25,25,25,25,25,0,NA,10,10,10,10
failed,51.22658611138662,5.66,T2-T,5,18,18,21,0,2,1,1,650b0eb2e8c0266da78521fb,Very Likely,Very Likely,100,100,No change,NA,Encourage,Likely,Likely,Likely,Very likely,Very likely,50,50,50,75,75,8,25,25,25,25,25,25,25,A lot of effort to not reach an average payout.,8,8,3,5
failed,94.21105610132217,1.09,T1-T-Info,5,13,1,0,1,3,0,0,674920f31516667cc3eb79d5,Very unlikely,Very unlikely,0,0,No change,NA,No change,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,0,0,0,0,0,6,25,25,25,25,25,25,0,NA,9,9,8,9
failed,56.708406281471255,4.35,T1-T-NoInfo,5,13,13,17,0,1,0,0,5ea720a669cae10d910fba3e,Very Likely,Very Likely,75,75,Spend/consume somewhat less,500,Definitely discourage,Unlikely,Unlikely,Likely,Likely,Very likely,0,0,25,60,80,12,25,25,45,25,40,25,25,NA,3,5,6,5
failed,43.776485526561736,5.57,T1-P,6,16,22,23,1,0,0,0,6630e7a69b4d00def2eedf8a,Likely,Likely,50,50,Spend/consume somewhat less,200,No change,Very unlikely,Very unlikely,Likely,Very likely,Very likely,100,100,75,80,100,12,25,22,50,20,30,50,50,N/A,10,10,9,9
failed,46.71605017185211,6.85,C-Info,5,14,19,19,0,1,3,4,6603412311cbee9e33dbf46e,Unlikely,Likely,20,60,No change,NA,Encourage,Likely,Likely,Likely,Very likely,Very likely,55,60,65,80,82,10,25,25,25,25,25,25,25,NA,8,8,7,8
passed,43.55229139328003,5.84,C-NoInfo,5,13,13,17,1,1,2,1,67ad27dea19c84fec0002b17,Very Likely,Very Likely,100,100,Spend/consume somewhat less,50,Encourage,Very unlikely,Likely,Likely,Likely,Likely,0,20,50,50,50,11,25,25,25,25,25,25,25,I thought it was great. I would love to do more studies like this in the future.,10,10,10,10
passed,51.9161349773407,4.35,T1-T-Info,5,13,15,15,0,0,0,0,66512fcae6ee0568b12cde76,Very Likely,Very Likely,80,80,Spend/consume somewhat less,1500,Encourage,Unlikely,Unlikely,Likely,Very likely,Very likely,90,85,95,100,100,6,25,21,33,18,12,22,23,NA,10,10,10,10
passed,89.86768846114477,4.3,T1-T-NoInfo,5,8,8,16,0,0,0,0,63c047ef36e1348b19bb8010,Very Likely,Very Likely,100,100,No change,NA,Definitely encourage,Very unlikely,Unlikely,Likely,Very likely,Very likely,100,100,100,100,100,4,25,23,25,20,20,0,25,NA,10,10,10,8
failed,50.62612756490707,2.4,T1-P,7,6,11,15,0,0,1,0,67689554da72fe70b3d039da,Very Likely,Likely,45,50,Spend/consume somewhat more,300,Encourage,Likely,Likely,Very likely,Unlikely,Likely,35,49,59,30,60,4,29,26,23,15,20,15,10,This is a lovely survey,9,8,8,8
passed,39.863284051418304,7.54,C-Info,5,19,24,24,0,1,0,1,67806e9d273c2547826d1d8b,Likely,Likely,75,75,Spend/consume much more,1000,Discourage,Very unlikely,Very unlikely,Very unlikely,Likely,Likely,5,5,5,51,60,12,25,15,50,33,15,25,50,It all made sense to me.,10,10,10,10
passed,39.51926550467809,5.74,C-NoInfo,5,14,17,20,0,1,0,0,6405feae7d6321bfaaf793e8,Very Likely,Very Likely,90,90,No change,NA,No change,Unlikely,Unlikely,Likely,Very likely,Very likely,10,20,55,98,99,1,25,30,30,30,35,25,25,No feedback,10,10,7,9
failed,49.30871096054713,4.44,T2-T,5,12,13,16,1,1,0,0,56802e5fc5767f00121cc6a0,Unlikely,Unlikely,15,10,Spend/consume much less,20,Encourage,Unlikely,Likely,Likely,Unlikely,Unlikely,85,75,45,95,98,2,22,25,75,30,25,50,25,Loaded fine in Chrome Browser - Cheers,10,10,9,10
passed,62.99048342704773,5.54,T1-T-NoInfo,16,14,17,14,2,2,1,1,66b62d378900b27a626cf2ba,Unlikely,Unlikely,20,20,No change,NA,Discourage,Likely,Likely,Likely,Very likely,Very likely,60,70,80,95,100,8,25,27,40,26,25,25,25,NA,10,10,8,6
failed,78.35469010273616,0.23,T1-P,5,3,0,0,0,0,0,0,63ce4a983479277bba4987c5,Likely,Likely,30,25,Spend/consume somewhat less,3000,Discourage,Likely,Very likely,Likely,Likely,Likely,5,3,5,5,3,8,3,5,2,3,2,1,4,NA,10,10,10,10
passed,43.96292683283488,5.4,C-NoInfo,5,13,15,20,3,1,0,2,661da78d934b48c623c627b0,Unlikely,Unlikely,65,65,No change,NA,Encourage,Likely,Likely,Likely,Likely,Very likely,30,30,50,70,90,3,25,35,28,50,35,25,25,NA,10,10,9,8
failed,46.76372898419698,4.41,T1-T-NoInfo,5,11,10,13,1,0,1,0,665ca0199c9267eb724e8028,Very unlikely,Likely,0,75,No change,NA,Definitely encourage,Very unlikely,Unlikely,Likely,Very likely,Very likely,0,15,75,100,100,12,25,25,25,25,25,25,25,"Study was fine, typing the faint text was a pain, but the expectation that most receive $16, and I received meaningfully less than that was a major bummer.",10,10,6,8
failed,47.157258196671805,4.82,T1-P,6,18,16,17,1,0,0,0,64d50c4b3a44318d98f4f5b2,Very Likely,Very Likely,100,100,No change,NA,No change,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,50,50,50,50,50,1,25,25,50,25,50,50,50,NA,10,10,6,6
passed,49.36010008255641,3.81,C-Info,5,6,9,10,0,1,1,3,5c616465b672de0001fd3ac6,Very Likely,Likely,85,80,Spend/consume somewhat less,10,Discourage,Very unlikely,Unlikely,Unlikely,Likely,Likely,2,5,5,10,12,9,24,23,25,26,24,24,26,"I've always found stuff involving taxes very confusing. I guess my brain has never processed that kind of information very well. Regardless, I did my best to answer the questions. Thank you.",8,9,7,8
failed,49.657269231478374,6.52,C-NoInfo,5,16,21,21,4,1,2,3,60675b278929f00a78c91c3f,Likely,Likely,10,10,No change,NA,No change,Unlikely,Likely,Unlikely,Likely,Very likely,0,0,0,15,25,7,20,10,10,10,10,15,15,NA,10,10,10,10
passed,54.51997585693995,1.9,T2-T,7,7,8,8,1,5,4,4,671fd6f39d8fe673222a5324,Very Likely,Very Likely,75,95,Spend/consume somewhat less,400,Encourage,Very unlikely,Unlikely,Unlikely,Very likely,Very likely,5,15,30,60,85,5,25,22,22,27,23,25,25,none,10,10,10,10
passed,45.29446352720261,4,T1-T-Info,5,10,8,12,2,0,0,1,648646988a5170373da06a9e,Likely,Likely,50,50,Spend/consume somewhat less,100,No change,Unlikely,Unlikely,Likely,Very likely,Very likely,10,10,59,90,90,8,25,24,49,25,50,35,27,The study was clear and easy to understand,10,10,10,10
failed,40.743603332837424,5.5,T1-T-NoInfo,5,15,13,17,1,1,3,0,66d3274252d61ef65f0cc099,Very Likely,Very Likely,100,100,No change,NA,No change,Very unlikely,Unlikely,Unlikely,Likely,Likely,50,65,75,90,90,7,20,25,30,27,25,30,30,NA,10,9,10,10
passed,44.28655845721563,1.28,T1-P,5,9,4,4,1,2,1,1,5d4a30c602fd73001cf470c8,Likely,Likely,60,75,No change,NA,Discourage,Very unlikely,Unlikely,Likely,Very likely,Very likely,5,8,25,55,90,7,22,25,50,24,50,50,50,NA,10,10,10,9
failed,41.08460050026576,7.08,C-Info,5,15,18,21,0,4,3,1,675c9d0a538d1eb89a70c8fa,Very Likely,Very Likely,80,90,Spend/consume somewhat less,300,Encourage,Likely,Likely,Likely,Likely,Likely,2,4,5,6,10,6,25,23,25,27,25,25,25,NA,9,10,6,7
passed,49.081538931528726,6.51,C-NoInfo,7,13,19,17,2,2,0,2,5f2d95153c1140074cc81b4c,Very unlikely,Very unlikely,0,0,No change,NA,No change,Very unlikely,Very unlikely,Unlikely,Likely,Likely,5,10,40,55,60,5,25,25,25,25,25,25,25,NA,9,9,10,10
passed,53.46392082770665,3.54,T2-T,5,11,14,16,0,2,0,1,67ab59d220f4efb5665c7198,Likely,Very Likely,75,95,Spend/consume somewhat less,500,Encourage,Very unlikely,Unlikely,Likely,Very likely,Very likely,10,30,50,80,90,7,25,25,90,25,90,58,47,NA,9,9,10,10
passed,49.74509376684825,4.3,T1-T-Info,5,11,10,12,0,0,2,0,5e6d8c46f93a0c35d1f82335,Very unlikely,Very unlikely,0,0,No change,NA,Discourage,Very unlikely,Very unlikely,Very unlikely,Unlikely,Unlikely,10,10,10,20,25,4,25,23,35,23,35,25,25,NA,10,10,8,10
passed,84.81934912204743,4.56,T1-T-NoInfo,5,10,12,13,1,0,0,0,64135e3d9cd5e3f16290d29c,Likely,Very Likely,75,85,Spend/consume somewhat more,1000,Definitely encourage,Likely,Very likely,Very likely,Very likely,Very likely,80,85,90,100,95,3,25,23,25,21,21,21,23,"Yes, I felt comfortable with the instructions. I was not confused.",9,9,10,10
failed,63.02250589529673,3.08,T1-P,11,13,14,14,3,1,0,1,67aa3d8099705a4e70e01e2e,Likely,Likely,80,70,No change,NA,No change,Unlikely,Likely,Very likely,Very likely,Very likely,70,60,90,99,99,8,25,25,25,25,24,50,50,NA,10,9,9,9
passed,41.429975815614064,9.78,C-Info,5,23,26,29,1,0,1,0,66362c599c58570d437989ca,Very unlikely,Very unlikely,0,5,No change,NA,Discourage,Very unlikely,Unlikely,Unlikely,Likely,Likely,0,40,40,60,65,1,23,29,25,19,50,25,25,thank you for this opportunity! I'd love to do similar work in the future.,10,10,10,10
passed,48.84111214876175,3.38,C-NoInfo,5,8,10,12,2,3,0,2,57bd287fe028bc00010488ab,Unlikely,Unlikely,1,1,Spend/consume somewhat less,50,No change,Unlikely,Unlikely,Likely,Likely,Likely,2,2,5,10,12,4,22,20,25,15,28,20,20,NA,7,9,7,7
passed,59.58217157125473,1.68,T2-T,7,7,8,6,2,2,2,6,67a536701deb6e6c96611481,Likely,Very Likely,60,75,Spend/consume somewhat more,1000,No change,Very unlikely,Unlikely,Likely,Likely,Likely,90,70,80,80,80,3,25,35,33,75,75,35,25,"Just intrigued at what this study was determining. Degree of optimism and incentive to work--and how that may be changed by experience?  I kind of enjoyed the transcription part--I may be weird to actually enjoy things like that, so the actual, very small earnings, were not a great factor in my performance.",10,10,6,6
failed,46.806505517164865,3.19,T1-T-Info,5,8,11,12,0,0,0,3,5e29dc4721a5f20481c70274,Likely,Likely,55,70,No change,NA,No change,Unlikely,Likely,Likely,Very likely,Very likely,50,60,75,75,80,6,25,20,40,15,45,30,26,NA,10,10,9,7
failed,87.85985810756684,4.75,T1-T-NoInfo,5,11,12,14,0,0,0,0,64294cae8d5cae1b2ed48562,Likely,Likely,45,55,Spend/consume somewhat more,550,Encourage,Likely,Very likely,Very likely,Very likely,Likely,35,45,55,45,55,10,25,25,25,25,25,25,25,NA,10,10,10,10
failed,47.80570814609528,2.7,T1-P,5,11,12,13,1,0,1,1,5dd3648c10420036f4141f18,Very Likely,Very Likely,95,100,Spend/consume somewhat more,1500,Encourage,Very unlikely,Unlikely,Likely,Very likely,Very likely,1,10,50,90,99,9,25,23,50,25,50,50,50,NA,10,10,9,9
passed,61.79748698870341,3.7,C-Info,6,7,6,11,3,3,5,1,6640bef4362e289ab16112cc,Likely,Likely,75,75,Spend/consume somewhat less,500,Encourage,Very unlikely,Very unlikely,Very unlikely,Likely,Likely,90,90,90,100,100,2,25,26,26,27,27,27,23,"the only time i had a problem understanding the instructions was the attention check, where to click here, it was confusing.",9,9,9,10
passed,48.02736956675847,5.16,C-NoInfo,5,10,13,14,1,0,0,0,5ecd78784dc5af0d97078c8b,Likely,Likely,60,60,Spend/consume somewhat more,25,No change,Very unlikely,Very unlikely,Unlikely,Likely,Likely,0,0,20,50,50,11,25,15,25,10,25,25,25,NA,10,10,9,10
passed,71.21491699616114,2.25,T2-T,5,8,9,1,2,0,1,0,66a94c224273fab59f0b2c71,Very Likely,Very Likely,70,70,Spend/consume somewhat more,1000,Encourage,Very unlikely,Very unlikely,Very unlikely,Very likely,Very likely,50,50,50,90,100,4,25,20,20,18,18,25,25,NA,10,10,10,10
passed,42.39004145860672,2.58,T1-T-Info,5,6,3,7,0,0,1,0,59048309c4ef1300011b1085,Very Likely,Very Likely,90,90,No change,NA,Encourage,Very unlikely,Very unlikely,Unlikely,Likely,Very likely,5,7,12,30,75,8,25,25,25,25,25,25,25,it would have been nice to see where we made mistakes,9,9,10,9
failed,43.37470203240712,6.45,T1-T-NoInfo,5,20,21,23,1,0,1,1,636d19c8d8a6c6ef4d37ff41,Very Likely,Very Likely,100,100,No change,NA,No change,Unlikely,Unlikely,Likely,Likely,Likely,90,80,70,80,90,7,25,26,35,27,50,30,35,I was confused on what I needed to guess for the tax rate- being told the default was 25% and it could change. I wasn't sure what to base my guess on.,5,6,7,8
failed,58.9876716931661,3.6,C-NoInfo,8,8,12,12,1,1,1,2,67709b0a96dcc9c2a7b0a06e,Likely,Likely,60,65,Spend/consume somewhat more,3500,Encourage,Unlikely,Likely,Likely,Very likely,Likely,35,60,70,75,80,5,27,25,22,22,20,20,20,no problem at all,10,10,10,9
failed,73.5320041179657,5.32,T2-T,22,18,17,19,2,0,2,1,673b9e76456e060aaca75d35,Very Likely,Very Likely,50,75,No change,NA,Definitely discourage,Likely,Likely,Likely,Unlikely,Unlikely,25,50,25,25,25,4,50,75,75,25,75,75,25,NA,10,10,9,9
passed,42.17731196880341,3.67,T1-T-Info,5,16,9,13,2,0,2,2,61350714824fe9ef61afde03,Very unlikely,Very unlikely,0,0,Spend/consume somewhat less,25,No change,Very likely,Very likely,Very likely,Very likely,Very likely,20,20,30,40,40,10,25,40,50,20,65,25,50,NA,10,10,9,10
passed,51.84961006641388,5.32,T1-T-NoInfo,6,17,16,20,3,0,4,1,66e9bdb86f599f239c1ea24e,Unlikely,Unlikely,40,40,No change,NA,Discourage,Very unlikely,Unlikely,Likely,Likely,Likely,50,50,50,75,85,12,20,20,30,20,20,30,30,NA,10,10,10,7
failed,82.94403020143508,3.15,T1-P,39,13,14,15,6,1,2,2,67accaf5ece612d8f19b39ac,Very Likely,Very Likely,80,85,Spend/consume somewhat less,600,Encourage,Very likely,Likely,Very likely,Very likely,Very likely,5,7,10,15,20,9,20,20,15,20,15,50,25,Fun,9,9,9,9
passed,52.20366893609365,5.63,C-Info,5,12,19,19,0,2,0,1,6786a28746f77e1b013cb2f1,Likely,Likely,50,60,Spend/consume somewhat less,500,Encourage,Unlikely,Unlikely,Unlikely,Likely,Very likely,5,10,20,50,90,5,25,30,25,27,50,50,25,NA,8,9,8,7
failed,58.440211006005605,6.06,C-NoInfo,6,13,15,17,1,1,1,1,6791752090260ac20edb1437,Likely,Likely,45,45,Spend/consume somewhat less,70,Encourage,Very unlikely,Very unlikely,Unlikely,Likely,Very likely,20,30,40,60,80,11,25,30,20,35,20,25,25,everything went well,9,9,9,8
passed,40.84637467861175,6.17,T2-T,5,21,24,28,0,0,1,0,665e750c97f12272bd9ab99e,Likely,Likely,60,60,No change,NA,Encourage,Unlikely,Likely,Very likely,Likely,Unlikely,20,50,75,50,20,1,25,23,25,21,50,50,25,NA,9,9,9,9
failed,56.43651832739512,3.64,T1-T-Info,5,5,11,18,1,1,2,0,673674170c987b500401215f,Very Likely,Likely,10,15,Spend/consume much less,500,Encourage,Very unlikely,Unlikely,Likely,Likely,Very likely,5,15,50,70,90,7,25,20,25,15,55,15,25,NA,10,10,10,10
failed,55.91571456193924,6.29,T1-T-NoInfo,10,18,18,17,2,1,2,2,675f50ab88662e8002f0ee08,Very unlikely,Very unlikely,0,5,No change,NA,Discourage,Very unlikely,Unlikely,Likely,Very likely,Very likely,5,15,40,75,90,11,25,25,25,25,25,25,25,NA,10,9,10,8
passed,44.06064227024714,4.9,T1-P,5,15,19,18,0,1,0,2,6713eeea64ca1fb59cbcbce4,Very Likely,Likely,100,100,Spend/consume much less,300,Encourage,Very unlikely,Unlikely,Likely,Very likely,Very likely,5,10,30,60,80,6,25,25,50,25,50,50,50,NA,10,10,9,8
passed,59.8053674697876,4.71,C-Info,5,9,12,12,1,1,0,1,6792b0c31ed2afe68cdd6ace,Unlikely,Likely,20,20,No change,NA,No change,Unlikely,Likely,Very likely,Very likely,Very likely,10,30,50,50,50,11,20,22,25,25,25,15,25,it was ok,7,8,8,9
failed,57.207555615901946,5.72,C-NoInfo,5,11,15,16,0,1,1,0,679132978cc757ace902b1d1,Likely,Likely,30,30,No change,NA,Definitely encourage,Likely,Likely,Likely,Likely,Likely,40,40,60,50,80,10,25,20,25,25,25,25,25,NA,10,10,10,10
passed,52.2484344124794,4.07,T2-T,7,2,11,16,1,0,0,0,66e8464aaca8e7ab9719a5ec,Very unlikely,Unlikely,0,12,No change,NA,Definitely discourage,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,0,0,0,0,0,6,25,24,40,23,41,12,44,NA,8,8,8,8
failed,43.22402127583822,2.89,T1-T-Info,5,16,15,0,1,0,2,0,6686e72b762ad26de146f4db,Likely,Likely,25,12,Spend/consume somewhat less,500,No change,Unlikely,Likely,Likely,Likely,Likely,18,30,40,35,26,12,25,25,35,25,40,40,40,NA,10,10,10,10
